證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00637L,元大滬深300正2  ,14665000,908000,13757000,0,0,0,0,0,0,17861000,0,193000,-193000,33138000,15084000,18054000,31618000
00672L,元大S&P原油正2  ,18384000,3015000,15369000,0,0,0,0,0,0,9507000,0,600000,-600000,24885000,14778000,10107000,24876000
2891,中信金          ,30227000,21303000,8924000,0,0,0,4000,0,4000,-141000,0,100000,-100000,0,41000,-41000,8787000
00633L,富邦上証正2     ,3285000,191000,3094000,0,0,0,0,0,0,4652000,0,18000,-18000,5929000,1259000,4670000,7746000
3706,神達            ,3979000,588000,3391000,0,0,0,350000,0,350000,2845000,2982000,414000,2568000,391000,114000,277000,6586000
3545,敦泰            ,7199000,1576000,5623000,0,0,0,0,0,0,18000,0,0,0,18000,0,18000,5641000
0056,元大高股息      ,2000,1000,1000,0,0,0,0,0,0,3769000,15000,100000,-85000,4704000,850000,3854000,3770000
2892,第一金          ,3089000,1163000,1926000,0,0,0,2000,838000,-836000,2465000,2474000,1000,2473000,0,8000,-8000,3555000
2888,新光金          ,5335000,3540000,1795000,0,0,0,3000,0,3000,1221000,958000,0,958000,367000,104000,263000,3019000
05091P,台積電元大95售11,0,0,0,0,0,0,0,0,0,2755000,0,0,0,3090000,335000,2755000,2755000
00655L,國泰中國A50正2  ,67000,75000,-8000,0,0,0,0,0,0,2693000,0,98000,-98000,3802000,1011000,2791000,2685000
03840P,台積電統一99售02,0,0,0,0,0,0,0,0,0,2550000,0,0,0,2555000,5000,2550000,2550000
054713,國巨中信9B購01  ,0,0,0,0,0,0,0,0,0,2546000,0,0,0,4769000,2223000,2546000,2546000
6116,彩晶            ,4994000,1899000,3095000,0,0,0,0,0,0,-561000,15000,4000,11000,146000,718000,-572000,2534000
05980P,台積電永昌96售09,0,0,0,0,0,0,0,0,0,2466000,0,0,0,6422000,3956000,2466000,2466000
06085P,義隆台新97售01  ,0,0,0,0,0,0,0,0,0,2421000,0,0,0,2492000,71000,2421000,2421000
00643,群益深証中小    ,2168000,11000,2157000,0,0,0,0,0,0,54000,30000,30000,0,374000,320000,54000,2211000
05826P,臺股指凱基96售23,0,0,0,0,0,0,0,0,0,2095000,0,0,0,2261000,166000,2095000,2095000
3189,景碩            ,2564000,1276000,1288000,0,0,0,357000,307000,50000,710000,222000,98000,124000,610000,24000,586000,2048000
04289P,臺股指中信95售07,0,0,0,0,0,0,0,0,0,2021000,0,0,0,2285000,264000,2021000,2021000
06572P,台積電永昌99售01,0,0,0,0,0,0,0,0,0,1930000,0,0,0,3954000,2024000,1930000,1930000
00639,富邦深100       ,1678000,0,1678000,0,0,0,0,0,0,227240,0,0,0,1126240,899000,227240,1905240
06229P,欣興凱基97售07  ,0,0,0,0,0,0,0,0,0,1844000,0,0,0,2200000,356000,1844000,1844000
00861,元大全球未來通訊,133000,16000,117000,0,0,0,0,0,0,1589000,0,250000,-250000,2242000,403000,1839000,1706000
05551P,電子類元大96售01,0,0,0,0,0,0,0,0,0,1656000,0,0,0,2388000,732000,1656000,1656000
2884,玉山金          ,4435000,3141128,1293872,0,0,0,3000,0,3000,352000,251000,0,251000,101000,0,101000,1648872
06456P,聯發科統一98售03,0,0,0,0,0,0,0,0,0,1644000,0,0,0,1644000,0,1644000,1644000
2371,大同            ,2266000,709000,1557000,0,0,0,0,0,0,54000,56000,2000,54000,0,0,0,1611000
2201,裕隆            ,1776000,277000,1499000,0,0,0,0,0,0,29000,0,0,0,36000,7000,29000,1528000
054534,台積電富邦98購03,0,0,0,0,0,0,0,0,0,1445000,0,0,0,2021000,576000,1445000,1445000
06078P,臺股指凱基9A售01,0,0,0,0,0,0,0,0,0,1430000,0,0,0,1459000,29000,1430000,1430000
05729P,臺股指凱基97售02,0,0,0,0,0,0,0,0,0,1384000,0,0,0,1637000,253000,1384000,1384000
04980P,臺股指凱基96售08,0,0,0,0,0,0,0,0,0,1351000,0,0,0,1757000,406000,1351000,1351000
2887,台新金          ,2817000,1474016,1342984,0,0,0,2000,0,2000,-4000,0,0,0,0,4000,-4000,1340984
2313,華通            ,3689000,2234000,1455000,0,0,0,0,260000,-260000,105000,94000,94000,0,270000,165000,105000,1300000
3532,台勝科          ,922000,265500,656500,0,0,0,650000,0,650000,-50000,34000,49000,-15000,11000,46000,-35000,1256500
05170P,世芯元大95售01  ,0,0,0,0,0,0,0,0,0,1253000,0,0,0,1509000,256000,1253000,1253000
04755P,大立光元富94售07,0,0,0,0,0,0,0,0,0,1203000,0,0,0,1265000,62000,1203000,1203000
051113,聯電元富95購01  ,0,0,0,0,0,0,0,0,0,1198000,0,0,0,1278000,80000,1198000,1198000
05891P,聯發科中信98售03,0,0,0,0,0,0,0,0,0,1191000,0,0,0,1498000,307000,1191000,1191000
2383,台光電          ,3049000,781000,2268000,0,0,0,0,1098000,-1098000,9000,147000,111000,36000,37000,64000,-27000,1179000
0061,元大寶滬深      ,1159000,0,1159000,0,0,0,0,0,0,13000,20000,10000,10000,91000,88000,3000,1172000
3037,欣興            ,3483000,1819000,1664000,0,0,0,0,663000,-663000,169000,322000,138000,184000,148000,163000,-15000,1170000
06193P,台積電元富97售04,0,0,0,0,0,0,0,0,0,1156000,0,0,0,2921000,1765000,1156000,1156000
006205,富邦上証        ,677000,20000,657000,0,0,0,0,0,0,478507,0,0,0,1646507,1168000,478507,1135507
2886,兆豐金          ,3585000,2343000,1242000,0,0,0,2000,0,2000,-113000,0,0,0,10000,123000,-113000,1131000
2345,智邦            ,2338000,1482000,856000,0,0,0,87000,0,87000,178000,117000,0,117000,96000,35000,61000,1121000
