證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00637L,元大滬深300正2  ,54907000,67000,54840000,0,0,0,0,0,0,21053000,0,0,0,40915000,19862000,21053000,75893000
00633L,富邦上証正2     ,9379000,267000,9112000,0,0,0,0,0,0,2212731,0,118000,-118000,3793731,1463000,2330731,11324731
00852L,國泰美國道瓊正2 ,5557000,0,5557000,0,0,0,0,0,0,5102000,0,0,0,8926000,3824000,5102000,10659000
00655L,國泰中國A50正2  ,2531000,34000,2497000,0,0,0,0,0,0,3034000,0,0,0,5010000,1976000,3034000,5531000
4927,泰鼎-KY         ,2602000,1238000,1364000,0,0,0,1905000,0,1905000,1087000,415000,233000,182000,993000,88000,905000,4356000
3545,敦泰            ,7285000,3064858,4220142,0,0,0,0,0,0,120000,120000,0,120000,0,0,0,4340142
5471,松翰            ,6052000,2762000,3290000,0,0,0,0,0,0,59000,138000,79000,59000,0,0,0,3349000
1760,寶齡富錦        ,2938000,965000,1973000,0,0,0,1180000,135000,1045000,16000,26000,10000,16000,0,0,0,3034000
2448,晶電            ,6784000,3500000,3284000,0,0,0,10000,803000,-793000,218000,1923000,1736000,187000,36000,5000,31000,2709000
2049,上銀            ,3365340,1375279,1990061,0,0,0,395000,47000,348000,260000,223000,79000,144000,177000,61000,116000,2598061
2454,聯發科          ,7547483,5175690,2371793,0,0,0,53000,51000,2000,150000,260000,171000,89000,73000,12000,61000,2523793
2363,矽統            ,3369000,1062000,2307000,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,2313000
2368,金像電          ,10087000,5139016,4947984,0,0,0,0,608000,-608000,-2059000,650000,2794000,-2144000,163000,78000,85000,2280984
1701,中化            ,3256000,857000,2399000,0,0,0,0,0,0,-150000,50000,200000,-150000,0,0,0,2249000
07449P,臺指反元大01售01,0,0,0,0,0,0,0,0,0,2112000,0,0,0,2119000,7000,2112000,2112000
6257,矽格            ,2039000,276132,1762868,0,0,0,500000,0,500000,-156000,28000,220000,-192000,38000,2000,36000,2106868
058736,鈺齊永豐99購02  ,0,0,0,0,0,0,0,0,0,1895000,0,0,0,2116000,221000,1895000,1895000
055652,聯詠元富01購01  ,0,0,0,0,0,0,0,0,0,1835000,0,0,0,1835000,0,1835000,1835000
6278,台表科          ,1565000,1275493,289507,0,0,0,930000,0,930000,591000,217000,96000,121000,473000,3000,470000,1810507
00643,群益深証中小    ,1634000,15000,1619000,0,0,0,0,0,0,42000,50000,50000,0,418000,376000,42000,1661000
3380,明泰            ,3247000,2824000,423000,0,0,0,0,0,0,1214000,1036000,4000,1032000,231000,49000,182000,1637000
4133,亞諾法          ,1987000,412000,1575000,0,0,0,0,0,0,0,0,0,0,0,0,0,1575000
00861,元大全球未來通訊,0,0,0,0,0,0,0,0,0,1560000,0,0,0,1708000,148000,1560000,1560000
3034,聯詠            ,3781405,2814000,967405,0,0,0,354000,97000,257000,306000,143000,25000,118000,227000,39000,188000,1530405
2382,廣達            ,4072217,2496000,1576217,0,0,0,4000,0,4000,-125000,62000,149000,-87000,8000,46000,-38000,1455217
1308,亞聚            ,1555000,106000,1449000,0,0,0,0,0,0,-59000,0,59000,-59000,0,0,0,1390000
00639,富邦深100       ,2030000,23000,2007000,0,0,0,0,0,0,-633245,0,10000,-10000,1246755,1870000,-623245,1373755
00647L,元大S&P500正2   ,37000,37000,0,0,0,0,0,0,0,1350000,0,0,0,1530000,180000,1350000,1350000
059100,元油2X統一9C購02,0,0,0,0,0,0,0,0,0,1336000,0,0,0,1460000,124000,1336000,1336000
3006,晶豪科          ,2179000,854000,1325000,0,0,0,0,0,0,-1000,26000,16000,10000,211000,222000,-11000,1324000
4935,茂林-KY         ,1142000,671000,471000,0,0,0,730000,0,730000,66000,105000,186000,-81000,266000,119000,147000,1267000
1714,和桐            ,2432000,1186000,1246000,0,0,0,0,0,0,0,0,0,0,0,0,0,1246000
3017,奇鋐            ,3289000,1452294,1836706,0,0,0,0,102000,-102000,-495000,0,303000,-303000,36000,228000,-192000,1239706
00738U,元大道瓊白銀    ,8000,8000,0,0,0,0,0,0,0,1214000,0,0,0,1361000,147000,1214000,1214000
4746,台耀            ,2369521,1190000,1179521,0,0,0,0,0,0,23000,26000,3000,23000,0,0,0,1202521
9921,巨大            ,2473000,1221000,1252000,0,0,0,13000,0,13000,-88000,1000,102000,-101000,16000,3000,13000,1177000
