證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2409,友達            ,21655000,13837021,7817979,0,0,0,8000,0,8000,-1012000,0,455000,-455000,357000,914000,-557000,6813979
2337,旺宏            ,8551000,3236125,5314875,0,0,0,405000,170000,235000,278700,150000,14300,135700,209000,66000,143000,5828575
6251,定穎            ,10812000,6659000,4153000,0,0,0,200000,150000,50000,597926,1158000,560074,597926,0,0,0,4800926
2368,金像電          ,10652000,4833000,5819000,0,0,0,594831,1382000,-787169,-793000,395000,1167000,-772000,14000,35000,-21000,4238831
2448,晶電            ,7713000,5620823,2092177,0,0,0,1431000,0,1431000,271000,551000,250000,301000,4000,34000,-30000,3794177
0050,元大台灣50      ,3828101,72000,3756101,0,0,0,55000,0,55000,-148000,84000,175000,-91000,2078000,2135000,-57000,3663101
3042,晶技            ,5535000,2531000,3004000,0,0,0,32164,0,32164,246000,146000,176000,-30000,323000,47000,276000,3282164
0056,元大高股息      ,51000,254000,-203000,0,0,0,50000,0,50000,2875000,300000,300000,0,5326000,2451000,2875000,2722000
3017,奇鋐            ,1789000,1353000,436000,0,0,0,1574000,0,1574000,632000,181000,388000,-207000,884000,45000,839000,2642000
1101,台泥            ,7367902,4834018,2533884,0,0,0,3000,0,3000,16000,100000,76000,24000,94000,102000,-8000,2552884
052506,日月光日盛95購01,0,0,0,0,0,0,0,0,0,2536000,0,0,0,2536000,0,2536000,2536000
2382,廣達            ,4204386,1845096,2359290,0,0,0,145000,0,145000,-54000,30000,24000,6000,14000,74000,-60000,2450290
1909,榮成            ,2545629,234151,2311478,0,0,0,0,0,0,3000,12000,9000,3000,0,0,0,2314478
6278,台表科          ,1932000,1220000,712000,0,0,0,1293000,0,1293000,237757,260000,71243,188757,87000,38000,49000,2242757
1515,力山            ,3271000,1303250,1967750,0,0,0,0,0,0,103000,45000,16000,29000,112000,38000,74000,2070750
3038,全台            ,1383000,1340000,43000,0,0,0,2008512,0,2008512,-26000,0,26000,-26000,0,0,0,2025512
