證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00672L,元大S&P原油正2  ,14727000,5962000,8765000,0,0,0,0,0,0,34011000,100000,100000,0,49238000,15227000,34011000,42776000
2344,華邦電          ,24233000,10668000,13565000,0,0,0,1017000,0,1017000,10000,618000,1207000,-589000,2688000,2089000,599000,14592000
00677U,富邦VIX         ,10102000,6006000,4096000,0,0,0,0,0,0,4792000,200000,700000,-500000,8637000,3345000,5292000,8888000
2603,長榮            ,5272000,1844553,3427447,0,0,0,1500000,0,1500000,2707000,2748000,41000,2707000,0,0,0,7634447
2337,旺宏            ,16114000,7848000,8266000,0,0,0,1103000,0,1103000,-1869000,1501000,1725000,-224000,463000,2108000,-1645000,7500000
0056,元大高股息      ,4180,0,4180,0,0,0,50000,0,50000,7078000,0,20000,-20000,7995000,897000,7098000,7132180
00861,元大全球未來通訊,6000,0,6000,0,0,0,0,0,0,6812000,0,0,0,9963000,3151000,6812000,6818000
2317,鴻海            ,14922022,9744734,5177288,0,0,0,971000,45000,926000,654000,210000,260000,-50000,1507000,803000,704000,6757288
00708L,元大S&P黃金正2  ,1695000,0,1695000,0,0,0,0,0,0,4350000,0,0,0,6844000,2494000,4350000,6045000
00633L,富邦上証正2     ,3103000,1543000,1560000,0,0,0,0,0,0,3974000,340000,120000,220000,6839000,3085000,3754000,5534000
6116,彩晶            ,7886000,3681000,4205000,0,0,0,0,0,0,-6000,40000,46000,-6000,133000,133000,0,4199000
2889,國票金          ,4117000,58000,4059000,0,0,0,0,0,0,0,0,0,0,0,0,0,4059000
2881,富邦金          ,6132000,1962178,4169822,0,0,0,21000,176000,-155000,-50000,20000,5000,15000,210000,275000,-65000,3964822
2456,奇力新          ,5463000,2332000,3131000,0,0,0,421000,10000,411000,100000,657000,728000,-71000,254000,83000,171000,3642000
2492,華新科          ,4284772,2557000,1727772,0,0,0,1534000,0,1534000,224000,493000,367000,126000,362000,264000,98000,3485772
3019,亞光            ,6206000,1038000,5168000,0,0,0,47000,163000,-116000,-1630000,297000,1638000,-1341000,84000,373000,-289000,3422000
2308,台達電          ,5194827,1702460,3492367,0,0,0,6000,3000,3000,-88000,111000,82000,29000,25000,142000,-117000,3407367
00642U,元大S&P石油     ,2253000,28000,2225000,0,0,0,0,0,0,985000,55000,0,55000,1359000,429000,930000,3210000
2408,南亞科          ,8269904,4343363,3926541,0,0,0,324000,256000,68000,-1685000,160000,232000,-72000,47000,1660000,-1613000,2309541
00655L,國泰中國A50正2  ,528000,0,528000,0,0,0,0,0,0,1708000,0,0,0,5813000,4105000,1708000,2236000
044866,旺宏國票91購05  ,0,0,0,0,0,0,0,0,0,2103000,0,0,0,2103000,0,2103000,2103000
047282,啟碁永豐93購01  ,0,0,0,0,0,0,0,0,0,2000000,0,0,0,2000000,0,2000000,2000000
2882,國泰金          ,5357000,3333887,2023113,0,0,0,23000,0,23000,-95000,80000,95000,-15000,47000,127000,-80000,1951113
048947,凌華永豐94購01  ,0,0,0,0,0,0,0,0,0,1907000,0,0,0,2017000,110000,1907000,1907000
044817,可成兆豐93購01  ,0,0,0,0,0,0,0,0,0,1878000,0,0,0,1898000,20000,1878000,1878000
039828,鴻海統一91購01  ,0,0,0,0,0,0,0,0,0,1854000,0,0,0,2009000,155000,1854000,1854000
042255,群創國票92購01  ,0,0,0,0,0,0,0,0,0,1815000,0,0,0,2125000,310000,1815000,1815000
049869,訊芯兆豐94購01  ,0,0,0,0,0,0,0,0,0,1732000,0,0,0,1795000,63000,1732000,1732000
05780P,台積電統一96售07,0,0,0,0,0,0,0,0,0,1728000,0,0,0,1843000,115000,1728000,1728000
2330,台積電          ,18817154,16223795,2593359,0,0,0,239000,42000,197000,-1108000,713000,785000,-72000,66000,1102000,-1036000,1682359
3682,亞太電          ,2985000,1276000,1709000,0,0,0,0,0,0,-33000,0,33000,-33000,0,0,0,1676000
2474,可成            ,4224184,2559500,1664684,0,0,0,4000,0,4000,-40000,2000,66000,-64000,98000,74000,24000,1628684
05164P,南亞科元富95售04,0,0,0,0,0,0,0,0,0,1613000,0,0,0,1693000,80000,1613000,1613000
047248,奇鋐群益95購01  ,0,0,0,0,0,0,0,0,0,1585000,0,0,0,1764000,179000,1585000,1585000
2327,國巨            ,3588712,2346010,1242702,0,0,0,362000,10000,352000,-22000,391000,566000,-175000,287000,134000,153000,1572702
006205,富邦上証        ,154000,0,154000,0,0,0,0,0,0,1405792,130000,0,130000,2199792,924000,1275792,1559792
00636,國泰中國A50     ,451000,0,451000,0,0,0,0,0,0,1105000,0,0,0,1447000,342000,1105000,1556000
1536,和大            ,405000,331000,74000,0,0,0,700000,0,700000,777000,484000,38000,446000,376000,45000,331000,1551000
3450,聯鈞            ,1869000,397000,1472000,0,0,0,115000,0,115000,-53000,81000,17000,64000,20000,137000,-117000,1534000
1301,台塑            ,3238000,1505218,1732782,0,0,0,25000,388000,-363000,133000,262000,116000,146000,4000,17000,-13000,1502782
051107,鴻海統一95購05  ,0,0,0,0,0,0,0,0,0,1500000,0,0,0,4365000,2865000,1500000,1500000
049875,台積電永豐94購04,0,0,0,0,0,0,0,0,0,1483000,0,0,0,3042000,1559000,1483000,1483000
