證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2303,聯電            ,65822750,69131762,-3309012,0,0,0,10742000,277000,10465000,11736000,12659000,1357000,11302000,2368000,1934000,434000,18891988
2330,台積電          ,56959442,38141561,18817881,0,0,0,349000,1903369,-1554369,864987,607000,578000,29000,1341987,506000,835987,18128499
3711,日月光投控      ,19085260,5434224,13651036,0,0,0,106000,86000,20000,1123000,613000,52000,561000,695000,133000,562000,14794036
2448,晶電            ,16306000,5864000,10442000,0,0,0,2180000,0,2180000,1000,556000,555000,1000,0,0,0,12623000
0050,元大台灣50      ,11385077,543000,10842077,0,0,0,0,30000,-30000,901000,0,0,0,5338000,4437000,901000,11713077
00876,元大未來關鍵科技,0,0,0,0,0,0,0,0,0,7230000,0,0,0,8436000,1206000,7230000,7230000
053856,台積電富邦98購01,0,0,0,0,0,0,0,0,0,6338000,0,0,0,6671000,333000,6338000,6338000
2327,國巨            ,7129257,1872664,5256593,0,0,0,78000,499,77501,692000,402000,91000,311000,444000,63000,381000,6026094
2884,玉山金          ,7424277,20821480,-13397203,0,0,0,0,90000,-90000,19252000,1320000,200000,1120000,18373000,241000,18132000,5764797
00850,元大臺灣ESG永續 ,1000,0,1000,0,0,0,0,0,0,5146000,0,0,0,5437000,291000,5146000,5147000
3231,緯創            ,9206610,6683184,2523426,0,0,0,2310000,22000,2288000,-334000,0,186000,-186000,60000,208000,-148000,4477426
2368,金像電          ,11414000,6632000,4782000,0,0,0,0,556000,-556000,189000,374000,213000,161000,194000,166000,28000,4415000
00861,元大全球未來通訊,1027000,83000,944000,0,0,0,0,0,0,3335000,0,0,0,4004000,669000,3335000,4279000
2409,友達            ,26996028,20108944,6887084,0,0,0,0,2286000,-2286000,-375000,53000,372000,-319000,647000,703000,-56000,4226084
3037,欣興            ,10629000,7500000,3129000,0,0,0,387000,27000,360000,701000,497000,118000,379000,527000,205000,322000,4190000
050077,臺股指凱基99購02,0,0,0,0,0,0,0,0,0,3901000,0,0,0,4106000,205000,3901000,3901000
2377,微星            ,5752470,2349536,3402934,0,0,0,235000,1000,234000,-62000,100000,182000,-82000,47000,27000,20000,3574934
2353,宏碁            ,8608033,4480696,4127337,0,0,0,0,18000,-18000,-587000,0,219000,-219000,45000,413000,-368000,3522337
2382,廣達            ,5153016,2783568,2369448,0,0,0,548000,23000,525000,627000,625000,42000,583000,68000,24000,44000,3521448
053564,台積電富邦99購01,0,0,0,0,0,0,0,0,0,3312000,0,0,0,3362000,50000,3312000,3312000
00669R,國泰美國道瓊反1 ,0,0,0,0,0,0,0,0,0,3010000,0,0,0,3559000,549000,3010000,3010000
1101,台泥            ,4207232,3010424,1196808,0,0,0,1640000,46982,1593018,135000,534000,344000,190000,19000,74000,-55000,2924826
6176,瑞儀            ,2181000,424000,1757000,0,0,0,744000,1000,743000,315000,382000,34000,348000,26000,59000,-33000,2815000
07032P,聯發科統一9C售02,0,0,0,0,0,0,0,0,0,2707000,0,0,0,3954000,1247000,2707000,2707000
6257,矽格            ,4311000,1425000,2886000,0,0,0,0,0,0,-463000,446000,466000,-20000,240000,683000,-443000,2423000
00692,富邦公司治理    ,10000,784000,-774000,0,0,0,0,0,0,3055000,0,0,0,4775000,1720000,3055000,2281000
08416P,T50反1元大9C售07,0,0,0,0,0,0,0,0,0,2269000,0,0,0,2269000,0,2269000,2269000
3042,晶技            ,3049000,1693000,1356000,0,0,0,1184000,300000,884000,-13000,200000,221000,-21000,44000,36000,8000,2227000
08227P,T50反1元大9B售09,0,0,0,0,0,0,0,0,0,2226000,0,0,0,2226000,0,2226000,2226000
3545,敦泰            ,2827000,724000,2103000,0,0,0,0,0,0,-1000,0,0,0,48000,49000,-1000,2102000
00638R,元大滬深300反1  ,135000,94000,41000,0,0,0,0,0,0,1955000,0,0,0,2298000,343000,1955000,1996000
4927,泰鼎-KY         ,3125000,978294,2146706,0,0,0,0,0,0,-155000,82000,66000,16000,16000,187000,-171000,1991706
00631L,元大台灣50正2   ,910000,221000,689000,0,0,0,0,0,0,1284000,78000,70000,8000,2508000,1232000,1276000,1973000
3698,隆達            ,2458000,548000,1910000,0,0,0,0,0,0,41000,52000,11000,41000,0,0,0,1951000
00634R,富邦上証反1     ,328000,134000,194000,0,0,0,0,0,0,1715000,0,0,0,1812000,97000,1715000,1909000
066852,矽格元大01購03  ,0,0,0,0,0,0,0,0,0,1877000,0,0,0,1995000,118000,1877000,1877000
08211P,台表科元富9B售03,0,0,0,0,0,0,0,0,0,1824000,0,0,0,2082000,258000,1824000,1824000
054633,臺股指凱基9A購02,0,0,0,0,0,0,0,0,0,1796000,0,0,0,1803000,7000,1796000,1796000
1904,正隆            ,2689000,929000,1760000,0,0,0,0,0,0,18000,0,0,0,19000,1000,18000,1778000
064361,旺宏統一01購06  ,0,0,0,0,0,0,0,0,0,1758000,0,0,0,1758000,0,1758000,1758000
060736,旺宏統一01購01  ,0,0,0,0,0,0,0,0,0,1733000,0,0,0,1733000,0,1733000,1733000
6278,台表科          ,7196000,3215300,3980700,0,0,0,288000,2140000,-1852000,-407000,229000,684000,-455000,110000,62000,48000,1721700
3023,信邦            ,2266000,769000,1497000,0,0,0,253000,3000,250000,-48000,10000,96000,-86000,65000,27000,38000,1699000
9958,世紀鋼          ,1885000,487000,1398000,0,0,0,0,0,0,292000,0,0,0,322000,30000,292000,1690000
2363,矽統            ,3053000,1383000,1670000,0,0,0,0,0,0,-10000,0,10000,-10000,0,0,0,1660000
2454,聯發科          ,5343517,4429701,913816,0,0,0,247000,45925,201075,464000,805000,337000,468000,122000,126000,-4000,1578891
03451B,臺股指凱基9C熊23,0,0,0,0,0,0,0,0,0,1575000,0,0,0,2014000,439000,1575000,1575000
3515,華擎            ,1591000,229000,1362000,0,0,0,20000,2000,18000,187000,41000,32000,9000,185000,7000,178000,1567000
3653,健策            ,1119000,333000,786000,0,0,0,636000,70000,566000,182000,104000,23000,81000,130000,29000,101000,1534000
058977,SGBR2X凱基03購01,0,0,0,0,0,0,0,0,0,1485000,0,0,0,1558000,73000,1485000,1485000
058920,SGBR2X元富99購06,0,0,0,0,0,0,0,0,0,1448000,0,0,0,1448000,0,1448000,1448000
055063,玉晶光永豐99購01,0,0,0,0,0,0,0,0,0,1417000,0,0,0,2403000,986000,1417000,1417000
066932,京元電國票02購01,0,0,0,0,0,0,0,0,0,1353000,0,0,0,1572000,219000,1353000,1353000
058209,臺股指凱基01購01,0,0,0,0,0,0,0,0,0,1278000,0,0,0,1621000,343000,1278000,1278000
08638P,泰碩國票9C售01  ,0,0,0,0,0,0,0,0,0,1267000,0,0,0,1360000,93000,1267000,1267000
08464P,牧德永豐9C售02  ,0,0,0,0,0,0,0,0,0,1264000,0,0,0,1570000,306000,1264000,1264000
00671R,富邦NASDAQ反1   ,25000,5000,20000,0,0,0,0,0,0,1218000,0,0,0,1959000,741000,1218000,1238000
054471,T50反1中信9C購01,0,0,0,0,0,0,0,0,0,1236000,0,0,0,1833000,597000,1236000,1236000
067508,奇鋐統一03購01  ,0,0,0,0,0,0,0,0,0,1229000,0,0,0,1314000,85000,1229000,1229000
07792P,牧德元大9A售04  ,0,0,0,0,0,0,0,0,0,1212000,0,0,0,1532000,320000,1212000,1212000
6282,康舒            ,1718000,498000,1220000,0,0,0,0,0,0,-8000,3000,10000,-7000,47000,48000,-1000,1212000
058896,中環元大99購03  ,0,0,0,0,0,0,0,0,0,1200000,0,0,0,1200000,0,1200000,1200000
08161P,台表科元富9B售02,0,0,0,0,0,0,0,0,0,1198000,0,0,0,1733000,535000,1198000,1198000
2347,聯強            ,1737929,759008,978921,0,0,0,479000,0,479000,-270000,1000,272000,-271000,11000,10000,1000,1187921
065678,聯發科統一01購07,0,0,0,0,0,0,0,0,0,1164000,0,0,0,2524000,1360000,1164000,1164000
2375,凱美            ,1462000,219000,1243000,0,0,0,0,0,0,-84000,29000,0,29000,0,113000,-113000,1159000
051849,旺宏中信98購01  ,0,0,0,0,0,0,0,0,0,1112000,0,0,0,1302000,190000,1112000,1112000
067214,聯陽元大01購02  ,0,0,0,0,0,0,0,0,0,1109000,0,0,0,1486000,377000,1109000,1109000
066941,滬深2X元大03購01,0,0,0,0,0,0,0,0,0,1071000,0,0,0,1121000,50000,1071000,1071000
00708L,元大S&P黃金正2  ,31000,340000,-309000,0,0,0,0,0,0,1359000,0,0,0,5215000,3856000,1359000,1050000
062359,旺宏元大9C購02  ,0,0,0,0,0,0,0,0,0,1042000,0,0,0,1077000,35000,1042000,1042000
062819,奇鋐兆豐9B購01  ,0,0,0,0,0,0,0,0,0,1024000,0,0,0,1136000,112000,1024000,1024000
2458,義隆            ,2226060,1668000,558060,0,0,0,372000,121000,251000,212000,173000,108000,65000,241000,94000,147000,1021060
07750P,台表科凱基9A售04,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
07962P,聯詠中信05售03  ,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
