證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00632R,元大台灣50反1   ,76209000,14239000,61970000,0,0,0,0,0,0,280649000,5088000,7680000,-2592000,318883000,35642000,283241000,342619000
00852L,國泰美國道瓊正2 ,10430000,0,10430000,0,0,0,0,0,0,1683000,0,0,0,1706000,23000,1683000,12113000
055223,和大國票98購01  ,0,0,0,0,0,0,0,0,0,6856000,0,0,0,6856000,0,6856000,6856000
058351,上銀凱基9A購02  ,0,0,0,0,0,0,0,0,0,3640000,0,0,0,3670000,30000,3640000,3640000
2303,聯電            ,64600000,61479904,3120096,0,0,0,277000,38000,239000,72000,1200000,958000,242000,222000,392000,-170000,3431096
9919,康那香          ,3729000,669000,3060000,0,0,0,0,0,0,0,0,0,0,0,0,0,3060000
057094,祥碩元富98購01  ,0,0,0,0,0,0,0,0,0,2665000,0,0,0,2735000,70000,2665000,2665000
054102,百和國票97購04  ,0,0,0,0,0,0,0,0,0,2455000,0,0,0,2600000,145000,2455000,2455000
00676R,富邦臺灣加權反1 ,0,72000,-72000,0,0,0,0,0,0,2514000,0,0,0,4764000,2250000,2514000,2442000
00638R,元大滬深300反1  ,1186000,0,1186000,0,0,0,0,0,0,1235000,0,0,0,2684000,1449000,1235000,2421000
00634R,富邦上証反1     ,2020000,6000,2014000,0,0,0,0,0,0,98000,0,0,0,3405000,3307000,98000,2112000
053314,A50正2群益9A購01,0,0,0,0,0,0,0,0,0,2079000,0,0,0,2390000,311000,2079000,2079000
053657,元大金凱基96購01,0,0,0,0,0,0,0,0,0,1996000,0,0,0,1996000,0,1996000,1996000
3042,晶技            ,5997000,2913000,3084000,0,0,0,0,626000,-626000,-521000,55000,226000,-171000,103000,453000,-350000,1937000
054743,聯鈞凱基99購01  ,0,0,0,0,0,0,0,0,0,1893000,0,0,0,1988000,95000,1893000,1893000
03737P,臺股指中信95售01,0,0,0,0,0,0,0,0,0,1799000,0,0,0,1799000,0,1799000,1799000
057542,上銀凱基99購01  ,0,0,0,0,0,0,0,0,0,1798000,0,0,0,1808000,10000,1798000,1798000
058120,台灣50國票99購03,0,0,0,0,0,0,0,0,0,1798000,0,0,0,2156000,358000,1798000,1798000
058425,S&P正2元富01購02,0,0,0,0,0,0,0,0,0,1797000,0,0,0,1797000,0,1797000,1797000
057749,華新科國票99購01,0,0,0,0,0,0,0,0,0,1785000,0,0,0,1785000,0,1785000,1785000
054067,百和國票97購03  ,0,0,0,0,0,0,0,0,0,1678000,0,0,0,1808000,130000,1678000,1678000
4142,國光生          ,3513000,1571878,1941122,0,0,0,0,0,0,-268000,60000,328000,-268000,0,0,0,1673122
2368,金像電          ,12325000,17379000,-5054000,0,0,0,6374000,0,6374000,344000,716000,372000,344000,0,0,0,1664000
6176,瑞儀            ,2083000,1184000,899000,0,0,0,165000,4000,161000,550000,103000,172000,-69000,627000,8000,619000,1610000
2449,京元電子        ,6499000,6203130,295870,0,0,0,122000,11000,111000,1151000,190000,262000,-72000,1480000,257000,1223000,1557870
058191,祥碩永豐99購01  ,0,0,0,0,0,0,0,0,0,1545000,0,0,0,2910000,1365000,1545000,1545000
058381,元石油中信9C購01,0,0,0,0,0,0,0,0,0,1466000,0,0,0,1466000,0,1466000,1466000
056987,南茂群益98購01  ,0,0,0,0,0,0,0,0,0,1462000,0,0,0,1485000,23000,1462000,1462000
058595,T50正2元富99購01,0,0,0,0,0,0,0,0,0,1429000,0,0,0,1439000,10000,1429000,1429000
2375,凱美            ,2380000,982000,1398000,0,0,0,0,0,0,-13000,0,0,0,0,13000,-13000,1385000
020012,富邦行動通訊N   ,0,0,0,0,0,0,0,0,0,1369000,0,0,0,1663000,294000,1369000,1369000
057799,世紀鋼兆豐98購01,0,0,0,0,0,0,0,0,0,1353000,0,0,0,1562000,209000,1353000,1353000
00656R,國泰中國A50反1  ,454000,0,454000,0,0,0,0,0,0,866000,0,0,0,1091000,225000,866000,1320000
056778,元石油群益9B購01,0,0,0,0,0,0,0,0,0,1303000,0,0,0,1303000,0,1303000,1303000
00738U,元大道瓊白銀    ,572000,13000,559000,0,0,0,0,0,0,737000,0,0,0,2061000,1324000,737000,1296000
2323,中環            ,6034000,4733000,1301000,0,0,0,0,0,0,-8000,97000,225000,-128000,191000,71000,120000,1293000
056516,晶豪科兆豐98購01,0,0,0,0,0,0,0,0,0,1291000,0,0,0,2378000,1087000,1291000,1291000
1325,恆大            ,1731000,505000,1226000,0,0,0,0,0,0,28000,28000,0,28000,0,0,0,1254000
051075,智邦國泰97購01  ,0,0,0,0,0,0,0,0,0,1223000,0,0,0,1318000,95000,1223000,1223000
054874,帆宣群益99購02  ,0,0,0,0,0,0,0,0,0,1200000,0,0,0,1200000,0,1200000,1200000
058482,祥碩凱基99購02  ,0,0,0,0,0,0,0,0,0,1164000,0,0,0,1307000,143000,1164000,1164000
00830,國泰費城半導體  ,1235000,3000,1232000,0,0,0,0,0,0,-73000,0,0,0,104000,177000,-73000,1159000
2027,大成鋼          ,1112000,2255000,-1143000,0,0,0,0,0,0,2266000,116000,239000,-123000,2450000,61000,2389000,1123000
9958,世紀鋼          ,1709000,1093000,616000,0,0,0,1269000,0,1269000,-785000,115000,79000,36000,98000,919000,-821000,1100000
052042,台積電日盛95購02,0,0,0,0,0,0,0,0,0,1094000,0,0,0,1198000,104000,1094000,1094000
058690,元油2X國票9A購03,0,0,0,0,0,0,0,0,0,1089000,0,0,0,1099000,10000,1089000,1089000
052844,台積電統一96購02,0,0,0,0,0,0,0,0,0,1078000,0,0,0,1078000,0,1078000,1078000
00677U,富邦VIX         ,24156000,65992000,-41836000,0,0,0,0,0,0,42899000,180000,0,180000,70367000,27648000,42719000,1063000
056930,晶豪科台新98購01,0,0,0,0,0,0,0,0,0,1061000,0,0,0,1112000,51000,1061000,1061000
049986,嘉澤凱基94購02  ,0,0,0,0,0,0,0,0,0,1060000,0,0,0,1060000,0,1060000,1060000
046011,欣興元富95購01  ,0,0,0,0,0,0,0,0,0,1040000,0,0,0,1040000,0,1040000,1040000
053458,聯詠國泰97購01  ,0,0,0,0,0,0,0,0,0,1034000,0,0,0,1054000,20000,1034000,1034000
055102,上銀凱基98購01  ,0,0,0,0,0,0,0,0,0,1018000,0,0,0,1058000,40000,1018000,1018000
052614,聯電國泰97購01  ,0,0,0,0,0,0,0,0,0,1014000,0,0,0,1039000,25000,1014000,1014000
04401P,玉晶光兆豐94售01,0,0,0,0,0,0,0,0,0,1012000,0,0,0,1020000,8000,1012000,1012000
1312,國喬            ,2496000,1458000,1038000,0,0,0,0,3000,-3000,-26000,1000,34000,-33000,7000,0,7000,1009000
048483,可成國泰95購01  ,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000
053562,玉晶光國泰98購02,0,0,0,0,0,0,0,0,0,999000,0,0,0,1675000,676000,999000,999000
03555P,聯電元大02售24  ,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
052074,鴻海元富95購10  ,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
053044,南茂凱基96購02  ,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
053460,緯穎國泰97購01  ,0,0,0,0,0,0,0,0,0,991000,0,0,0,1172000,181000,991000,991000
056914,臺股指元大99購09,0,0,0,0,0,0,0,0,0,984000,0,0,0,2167000,1183000,984000,984000
053977,新日興元大96購03,0,0,0,0,0,0,0,0,0,980000,0,0,0,1010000,30000,980000,980000
1515,力山            ,1438000,468000,970000,0,0,0,0,0,0,6000,25000,12000,13000,6000,13000,-7000,976000
050453,創意元大95購03  ,0,0,0,0,0,0,0,0,0,960000,0,0,0,960000,0,960000,960000
045189,大立光元富98購01,0,0,0,0,0,0,0,0,0,950000,0,0,0,2011000,1061000,950000,950000
057539,南茂元大98購02  ,0,0,0,0,0,0,0,0,0,949000,0,0,0,974000,25000,949000,949000
056017,台積電群益97購04,0,0,0,0,0,0,0,0,0,943000,0,0,0,1497000,554000,943000,943000
055771,台積電日盛97購04,0,0,0,0,0,0,0,0,0,942000,0,0,0,952000,10000,942000,942000
046479,群創元富94購01  ,0,0,0,0,0,0,0,0,0,930000,0,0,0,930000,0,930000,930000
049888,智邦國泰96購01  ,0,0,0,0,0,0,0,0,0,930000,0,0,0,950000,20000,930000,930000
056180,南茂元富97購01  ,0,0,0,0,0,0,0,0,0,925000,0,0,0,975000,50000,925000,925000
053967,華邦電元大96購03,0,0,0,0,0,0,0,0,0,922000,0,0,0,922000,0,922000,922000
