證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00637L,元大滬深300正2  ,20798000,6719000,14079000,0,0,0,0,0,0,2379000,4451000,63000,4388000,17489000,19498000,-2009000,16458000
2885,元大金          ,20345030,10363377,9981653,0,0,0,4000,4000,0,133000,131000,856000,-725000,872000,14000,858000,10114653
00633L,富邦上証正2     ,7220000,336000,6884000,0,0,0,0,0,0,1491000,0,22000,-22000,3779000,2266000,1513000,8375000
00655L,國泰中國A50正2  ,2467000,75000,2392000,0,0,0,0,0,0,3333000,1296000,0,1296000,5021000,2984000,2037000,5725000
9958,世紀鋼          ,5553000,1196000,4357000,0,0,0,20000,0,20000,1347000,260000,35000,225000,1302000,180000,1122000,5724000
2887,台新金          ,13331000,6380130,6950870,0,0,0,4000,3000,1000,-1377000,1000,1083000,-1082000,0,295000,-295000,5574870
6176,瑞儀            ,5021900,1806000,3215900,0,0,0,1423000,0,1423000,722000,512000,113000,399000,373000,50000,323000,5360900
2892,第一金          ,16087000,10833240,5253760,0,0,0,379000,4000,375000,-985000,335000,1320000,-985000,0,0,0,4643760
2855,統一證          ,3381000,749000,2632000,0,0,0,1500000,1000,1499000,0,0,0,0,0,0,0,4131000
00876,元大未來關鍵科技,50000,49000,1000,0,0,0,0,0,0,3841000,0,0,0,4693000,852000,3841000,3842000
0050,元大台灣50      ,5303300,938000,4365300,0,0,0,0,339000,-339000,-410000,0,0,0,1310000,1720000,-410000,3616300
6251,定穎            ,3968000,917586,3050414,0,0,0,195000,0,195000,183000,205000,22000,183000,0,0,0,3428414
2603,長榮            ,6801000,4516537,2284463,0,0,0,0,1000,-1000,1122000,2044000,922000,1122000,0,0,0,3405463
2505,國揚            ,3911000,702000,3209000,0,0,0,0,0,0,136000,0,0,0,545000,409000,136000,3345000
3231,緯創            ,9261000,5929305,3331695,0,0,0,283000,0,283000,-428000,28000,329000,-301000,37000,164000,-127000,3186695
0056,元大高股息      ,317000,1000000,-683000,0,0,0,0,60000,-60000,3834000,3000,0,3000,3831000,0,3831000,3091000
5880,合庫金          ,8847000,4513209,4333791,0,0,0,13000,4000,9000,-1352000,1000,1333000,-1332000,0,20000,-20000,2990791
2882,國泰金          ,7083530,3153704,3929826,0,0,0,187000,4000,183000,-1268000,80000,1336000,-1256000,68000,80000,-12000,2844826
08716P,台積電兆豐01售02,0,0,0,0,0,0,0,0,0,2744000,0,0,0,2754000,10000,2744000,2744000
6005,群益證          ,5349000,2730107,2618893,0,0,0,0,1000,-1000,0,0,0,0,0,0,0,2617893
9904,寶成            ,12121000,4804291,7316709,0,0,0,0,1000,-1000,-4800000,36000,959000,-923000,79000,3956000,-3877000,2515709
1309,台達化          ,3640000,931000,2709000,0,0,0,0,0,0,-281000,89000,370000,-281000,0,0,0,2428000
2382,廣達            ,7335000,4658000,2677000,0,0,0,153000,6000,147000,-422000,251000,640000,-389000,25000,58000,-33000,2402000
2201,裕隆            ,2776000,727000,2049000,0,0,0,0,0,0,287000,0,280000,-280000,637000,70000,567000,2336000
3711,日月光投控      ,6706000,4744313,1961687,0,0,0,124000,55000,69000,141000,669000,846000,-177000,386000,68000,318000,2171687
00664R,國泰臺灣加權反1 ,80000,101000,-21000,0,0,0,0,0,0,2083000,0,0,0,2998000,915000,2083000,2062000
07032P,聯發科統一9C售02,0,0,0,0,0,0,0,0,0,2045000,0,0,0,2553000,508000,2045000,2045000
07597P,臺股指中信01售02,0,0,0,0,0,0,0,0,0,2035000,0,0,0,4729000,2694000,2035000,2035000
08897P,國巨群益01售10  ,0,0,0,0,0,0,0,0,0,1947000,0,0,0,2179000,232000,1947000,1947000
08750P,台灣50群益01售04,0,0,0,0,0,0,0,0,0,1929000,0,0,0,2105000,176000,1929000,1929000
08831P,台積電群益01售11,0,0,0,0,0,0,0,0,0,1928000,0,0,0,1928000,0,1928000,1928000
2387,精元            ,2012000,1967000,45000,0,0,0,1195000,0,1195000,622000,199000,23000,176000,507000,61000,446000,1862000
064996,T50反1國票01購03,0,0,0,0,0,0,0,0,0,1842000,0,0,0,1970000,128000,1842000,1842000
00861,元大全球未來通訊,109000,64000,45000,0,0,0,0,0,0,1739000,0,0,0,1764000,25000,1739000,1784000
2823,中壽            ,5114000,2758180,2355820,0,0,0,1000,1000,0,-594000,51000,680000,-629000,299000,264000,35000,1761820
2515,中工            ,1817000,415000,1402000,0,0,0,0,0,0,346000,42000,42000,0,387000,41000,346000,1748000
00669R,國泰美國道瓊反1 ,26000,25000,1000,0,0,0,0,0,0,1742000,0,0,0,2629000,887000,1742000,1743000
03086P,台積電元大01售37,0,0,0,0,0,0,0,0,0,1674000,0,0,0,3468000,1794000,1674000,1674000
08794P,台積電兆豐01售03,0,0,0,0,0,0,0,0,0,1612000,0,0,0,1622000,10000,1612000,1612000
068057,惠特統一02購02  ,0,0,0,0,0,0,0,0,0,1565000,0,0,0,1569000,4000,1565000,1565000
064257,台勝科國泰01購01,0,0,0,0,0,0,0,0,0,1563000,0,0,0,1587000,24000,1563000,1563000
2481,強茂            ,1775000,221000,1554000,0,0,0,0,0,0,-1000,87000,66000,21000,26000,48000,-22000,1553000
067831,聯電統一03購01  ,0,0,0,0,0,0,0,0,0,1535000,0,0,0,1925000,390000,1535000,1535000
1590,亞德客-KY       ,3644209,2221200,1423009,0,0,0,3000,25000,-22000,106000,115000,54000,61000,81000,36000,45000,1507009
08571P,台積電兆豐9C售06,0,0,0,0,0,0,0,0,0,1506000,0,0,0,2036000,530000,1506000,1506000
3673,TPK-KY          ,1591000,220000,1371000,0,0,0,0,0,0,129000,173000,241000,-68000,228000,31000,197000,1500000
3034,聯詠            ,2440800,1105648,1335152,0,0,0,224000,10000,214000,-71000,53000,100000,-47000,15000,39000,-24000,1478152
08858P,台積電國票01售05,0,0,0,0,0,0,0,0,0,1455000,0,0,0,2805000,1350000,1455000,1455000
1440,南紡            ,1890000,604051,1285949,0,0,0,0,0,0,155000,0,0,0,155000,0,155000,1440949
061357,寶成元大9A購01  ,0,0,0,0,0,0,0,0,0,1422000,0,0,0,1466000,44000,1422000,1422000
064579,大立光富邦03購02,0,0,0,0,0,0,0,0,0,1387000,0,0,0,1440000,53000,1387000,1387000
2881,富邦金          ,6288000,4161454,2126546,0,0,0,182000,3000,179000,-923000,82000,1047000,-965000,108000,66000,42000,1382546
2520,冠德            ,2841000,1140000,1701000,0,0,0,0,0,0,-326000,221000,492000,-271000,99000,154000,-55000,1375000
063624,GIS兆豐9B購01   ,0,0,0,0,0,0,0,0,0,1350000,0,0,0,1461000,111000,1350000,1350000
2345,智邦            ,2533650,1325011,1208639,0,0,0,0,20000,-20000,91000,31000,70000,-39000,137000,7000,130000,1279639
064553,臺指反群益9C購01,0,0,0,0,0,0,0,0,0,1270000,0,0,0,1380000,110000,1270000,1270000
6153,嘉聯益          ,1917000,834000,1083000,0,0,0,0,0,0,181000,75000,4000,71000,272000,162000,110000,1264000
03049P,台積電元富07售11,0,0,0,0,0,0,0,0,0,1259000,0,0,0,4892000,3633000,1259000,1259000
08883P,台積電國票02售02,0,0,0,0,0,0,0,0,0,1250000,0,0,0,2837000,1587000,1250000,1250000
2504,國產            ,4427000,3719000,708000,0,0,0,0,0,0,537000,0,191000,-191000,728000,0,728000,1245000
3702,大聯大          ,3038000,3536500,-498500,0,0,0,290000,6000,284000,1442000,26000,87000,-61000,1600000,97000,1503000,1227500
2208,台船            ,1200000,253000,947000,0,0,0,0,0,0,274000,0,0,0,274000,0,274000,1221000
07777P,創意元大9A售03  ,0,0,0,0,0,0,0,0,0,1215000,0,0,0,1250000,35000,1215000,1215000
6202,盛群            ,1746000,526000,1220000,0,0,0,0,0,0,-12000,0,32000,-32000,22000,2000,20000,1208000
4960,誠美材          ,1404000,237000,1167000,0,0,0,0,0,0,-5000,0,5000,-5000,0,0,0,1162000
8150,南茂            ,1974000,682000,1292000,0,0,0,0,0,0,-134000,16000,134000,-118000,42000,58000,-16000,1158000
066052,景碩元大02購01  ,20000,0,20000,0,0,0,0,0,0,1120000,0,0,0,1304000,184000,1120000,1140000
2614,東森            ,1375000,433000,942000,0,0,0,0,0,0,198000,0,20000,-20000,218000,0,218000,1140000
08388P,台灣50中信03售09,0,0,0,0,0,0,0,0,0,1134000,0,0,0,1830000,696000,1134000,1134000
066232,聯強富邦03購01  ,0,0,0,0,0,0,0,0,0,1117000,0,0,0,1120000,3000,1117000,1117000
03095P,國巨凱基02售07  ,0,0,0,0,0,0,0,0,0,1116000,0,0,0,1143000,27000,1116000,1116000
08247P,台積電群益9C售06,0,0,0,0,0,0,0,0,0,1110000,0,0,0,1110000,0,1110000,1110000
3698,隆達            ,4715000,4820000,-105000,0,0,0,0,0,0,1213000,1293000,95000,1198000,15000,0,15000,1108000
2417,圓剛            ,2984000,1847218,1136782,0,0,0,0,0,0,-32000,0,32000,-32000,0,0,0,1104782
3059,華晶科          ,1205000,93000,1112000,0,0,0,0,0,0,-10000,0,10000,-10000,0,0,0,1102000
065010,國巨國泰01購04  ,0,0,0,0,0,0,0,0,0,1097000,0,0,0,1401000,304000,1097000,1097000
1477,聚陽            ,1574000,408000,1166000,0,0,0,0,1000,-1000,-71000,30000,153000,-123000,59000,7000,52000,1094000
067806,宏碁凱基02購01  ,0,0,0,0,0,0,0,0,0,1092000,0,0,0,2051000,959000,1092000,1092000
062353,亞德客元大9B購01,0,0,0,0,0,0,0,0,0,1065000,0,0,0,1182000,117000,1065000,1065000
065457,旭富元富03購01  ,0,0,0,0,0,0,0,0,0,1054000,0,0,0,1070000,16000,1054000,1054000
06716P,台積電元大9A售02,0,0,0,0,0,0,0,0,0,1046000,0,0,0,1209000,163000,1046000,1046000
00635U,元大S&P黃金     ,1000,23000,-22000,0,0,0,0,0,0,1050000,0,0,0,1432000,382000,1050000,1028000
063675,亞德客國泰01購01,0,0,0,0,0,0,0,0,0,1016000,0,0,0,2268000,1252000,1016000,1016000
08068P,宏達電國泰9C售01,0,0,0,0,0,0,0,0,0,1001000,0,0,0,1550000,549000,1001000,1001000
08190P,宏達電元富9B售04,0,0,0,0,0,0,0,0,0,986000,0,0,0,993000,7000,986000,986000
