證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00677U,富邦VIX         ,89646000,77954000,11692000,0,0,0,0,0,0,88840000,13342000,19008000,-5666000,119323000,24817000,94506000,100532000
2330,台積電          ,48516398,31125507,17390891,0,0,0,252000,266000,-14000,-404000,119000,1045000,-926000,1198000,676000,522000,16972891
2337,旺宏            ,20643000,3534668,17108332,0,0,0,150000,4025000,-3875000,350000,50000,49000,1000,406000,57000,349000,13583332
00669R,國泰美國道瓊反1 ,762000,98000,664000,0,0,0,0,0,0,9961000,0,0,0,14090000,4129000,9961000,10625000
00648R,元大S&P500反1   ,1628000,28000,1600000,0,0,0,0,0,0,7042000,0,0,0,11120000,4078000,7042000,8642000
0050,元大台灣50      ,6168000,1272000,4896000,0,0,0,590000,900000,-310000,3628000,190000,10000,180000,8940000,5492000,3448000,8214000
2412,中華電          ,13223000,4630417,8592583,0,0,0,248000,0,248000,-886000,5000,889000,-884000,0,2000,-2000,7954583
056829,台積電富邦9A購01,5000,0,5000,0,0,0,0,0,0,7869000,0,0,0,7869000,0,7869000,7874000
2887,台新金          ,19143000,11234728,7908272,0,0,0,0,0,0,-67000,2000,85000,-83000,36000,20000,16000,7841272
00638R,元大滬深300反1  ,1138000,34000,1104000,0,0,0,0,0,0,4952000,230000,0,230000,6262000,1540000,4722000,6056000
2324,仁寶            ,13198000,6573618,6624382,0,0,0,4000,171000,-167000,-472000,10000,493000,-483000,11000,0,11000,5985382
2885,元大金          ,18145000,11882229,6262771,0,0,0,0,0,0,-392000,5000,400000,-395000,20000,17000,3000,5870771
00634R,富邦上証反1     ,1820000,63000,1757000,0,0,0,0,0,0,3895000,0,0,0,4490000,595000,3895000,5652000
07554P,玉晶光元大9A售06,0,0,0,0,0,0,0,0,0,5500000,0,0,0,5500000,0,5500000,5500000
054072,台積電富邦98購02,0,0,0,0,0,0,0,0,0,5227000,0,0,0,5227000,0,5227000,5227000
053564,台積電富邦99購01,0,0,0,0,0,0,0,0,0,5183000,0,0,0,5183000,0,5183000,5183000
5876,上海商銀        ,8528000,3628502,4899498,0,0,0,0,0,0,23000,18000,10000,8000,32000,17000,15000,4922498
2344,華邦電          ,10626000,5758783,4867217,0,0,0,0,546000,-546000,148000,196000,94000,102000,76000,30000,46000,4469217
3231,緯創            ,8349000,3634949,4714051,0,0,0,1220000,608000,612000,-927000,9000,966000,-957000,120000,90000,30000,4399051
2884,玉山金          ,26845000,23131026,3713974,0,0,0,0,0,0,119000,28000,87000,-59000,294000,116000,178000,3832974
2317,鴻海            ,18201337,15673559,2527778,0,0,0,54000,0,54000,676000,111000,338000,-227000,1332000,429000,903000,3257778
2356,英業達          ,6024000,2841913,3182087,0,0,0,0,170000,-170000,41000,3000,133000,-130000,181000,10000,171000,3053087
2371,大同            ,4477000,1554000,2923000,0,0,0,0,0,0,0,0,0,0,0,0,0,2923000
050755,和大元富94購01  ,0,0,0,0,0,0,0,0,0,2919000,0,0,0,2919000,0,2919000,2919000
00671R,富邦NASDAQ反1   ,721000,0,721000,0,0,0,0,0,0,1829000,0,0,0,3557000,1728000,1829000,2550000
00631L,元大台灣50正2   ,1058000,1083000,-25000,0,0,0,0,0,0,2449000,0,140000,-140000,11641000,9052000,2589000,2424000
2408,南亞科          ,9466000,6366742,3099258,0,0,0,300000,1025000,-725000,18000,115000,121000,-6000,69000,45000,24000,2392258
1314,中石化          ,5221000,2656480,2564520,0,0,0,0,0,0,-187000,11000,201000,-190000,41000,38000,3000,2377520
2883,開發金          ,20038000,17790808,2247192,0,0,0,0,0,0,126000,271000,135000,136000,14000,24000,-10000,2373192
6505,台塑化          ,3403000,915695,2487305,0,0,0,0,0,0,-206000,246000,452000,-206000,0,0,0,2281305
00641R,富邦日本反1     ,806000,34000,772000,0,0,0,0,0,0,1417000,0,0,0,1961000,544000,1417000,2189000
