證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00637L,元大滬深300正2  ,49036000,5388000,43648000,0,0,0,0,0,0,57128000,0,10000,-10000,66777000,9639000,57138000,100776000
2603,長榮            ,30741000,12102496,18638504,0,0,0,6837000,520000,6317000,-3480000,1391000,4864000,-3473000,16000,23000,-7000,21475504
00633L,富邦上証正2     ,11063000,868000,10195000,0,0,0,0,0,0,10919000,0,0,0,11775000,856000,10919000,21114000
3481,群創            ,26454533,11416202,15038331,0,0,0,0,0,0,693000,256000,16000,240000,1453000,1000000,453000,15731331
2330,台積電          ,23882920,10966832,12916088,0,0,0,298000,136000,162000,1348000,690000,85000,605000,762000,19000,743000,14426088
4938,和碩            ,15834785,6970575,8864210,0,0,0,3811000,16000,3795000,40000,214000,307000,-93000,336000,203000,133000,12699210
2618,長榮航          ,11030325,2724000,8306325,0,0,0,1000,11000,-10000,1911000,1142000,174000,968000,978000,35000,943000,10207325
2363,矽統            ,10512000,666000,9846000,0,0,0,0,0,0,9000,9000,0,9000,0,0,0,9855000
2884,玉山金          ,11662783,3380934,8281849,0,0,0,8000,51000,-43000,426000,211000,0,211000,215000,0,215000,8664849
0056,元大高股息      ,3160,78000,-74840,0,0,0,0,0,0,7486000,50000,0,50000,7436000,0,7436000,7411160
1312,國喬            ,9793000,2735000,7058000,0,0,0,165000,0,165000,47000,140000,98000,42000,88000,83000,5000,7270000
1314,中石化          ,15925000,12321000,3604000,0,0,0,0,0,0,3517000,823000,32000,791000,3191000,465000,2726000,7121000
9945,潤泰新          ,4262236,1125114,3137122,0,0,0,0,0,0,3884639,2896000,0,2896000,1324000,335361,988639,7021761
00655L,國泰中國A50正2  ,477000,223000,254000,0,0,0,0,0,0,6475106,0,6000,-6000,7400000,918894,6481106,6729106
1313,聯成            ,8497000,1862623,6634377,0,0,0,0,0,0,0,0,0,0,0,0,0,6634377
2888,新光金          ,9057626,2563263,6494363,0,0,0,8000,0,8000,107000,8000,2000,6000,557000,456000,101000,6609363
9904,寶成            ,7546866,2319486,5227380,0,0,0,0,13000,-13000,711000,116000,177000,-61000,792000,20000,772000,5925380
2515,中工            ,6058000,1673000,4385000,0,0,0,0,0,0,1485000,398000,2000,396000,1258000,169000,1089000,5870000
2882,國泰金          ,7613982,2177629,5436353,0,0,0,4000,38000,-34000,163000,50000,91000,-41000,236000,32000,204000,5565353
2504,國產            ,8860916,3440000,5420916,0,0,0,200000,0,200000,-252000,72000,0,72000,63000,387000,-324000,5368916
1513,中興電          ,6680000,2045000,4635000,0,0,0,70000,0,70000,469000,80000,94000,-14000,629000,146000,483000,5174000
2002,中鋼            ,6881097,2209433,4671664,0,0,0,8000,50000,-42000,365000,365000,0,365000,0,0,0,4994664
3189,景碩            ,7300000,5928620,1371380,0,0,0,3640000,119000,3521000,3000,109000,73000,36000,37000,70000,-33000,4895380
2201,裕隆            ,6067384,2238000,3829384,0,0,0,0,0,0,1030000,293000,82000,211000,889000,70000,819000,4859384
00636,國泰中國A50     ,1852000,38000,1814000,0,0,0,0,0,0,2885000,20000,20000,0,3113000,228000,2885000,4699000
03381P,臺股指群益02售08,0,0,0,0,0,0,0,0,0,4357000,0,0,0,4586000,229000,4357000,4357000
066282,鎧勝元大01購01  ,0,0,0,0,0,0,0,0,0,4266000,0,0,0,4276000,10000,4266000,4266000
1605,華新            ,7104000,3474000,3630000,0,0,0,0,0,0,583000,168000,100000,68000,1201000,686000,515000,4213000
00878,國泰永續高股息  ,192000,7000,185000,0,0,0,0,0,0,4003000,0,0,0,5956000,1953000,4003000,4188000
2409,友達            ,17306454,12879786,4426668,0,0,0,90000,0,90000,-350000,532000,284000,248000,651000,1249000,-598000,4166668
2481,強茂            ,4424000,1797000,2627000,0,0,0,0,0,0,1303000,710000,10000,700000,762000,159000,603000,3930000
2402,毅嘉            ,4148000,573000,3575000,0,0,0,0,0,0,11000,12000,1000,11000,0,0,0,3586000
3049,和鑫            ,3694000,312000,3382000,0,0,0,0,0,0,160000,18000,0,18000,142000,0,142000,3542000
053856,台積電富邦98購01,0,0,0,0,0,0,0,0,0,3533000,0,0,0,4132000,599000,3533000,3533000
006205,富邦上証        ,775000,139000,636000,0,0,0,0,0,0,2784000,210000,80000,130000,4143000,1489000,2654000,3420000
2505,國揚            ,4790000,2015000,2775000,0,0,0,0,0,0,498000,50000,0,50000,448000,0,448000,3273000
5521,工信            ,3450000,391000,3059000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,3058000
1514,亞力            ,3462000,594000,2868000,0,0,0,0,0,0,0,0,0,0,0,0,0,2868000
0050,元大台灣50      ,818047,90000,728047,0,0,0,0,25000,-25000,2061000,376000,0,376000,2100000,415000,1685000,2764047
2352,佳世達          ,2826000,502000,2324000,0,0,0,4000,0,4000,401000,168000,12000,156000,278000,33000,245000,2729000
2312,金寶            ,3193000,940000,2253000,0,0,0,0,0,0,450000,12000,0,12000,526000,88000,438000,2703000
1440,南紡            ,3535000,718000,2817000,0,0,0,0,0,0,-119000,0,118000,-118000,0,1000,-1000,2698000
2892,第一金          ,5746467,2280117,3466350,0,0,0,7000,885000,-878000,109000,152000,43000,109000,0,0,0,2697350
2353,宏碁            ,19800411,20586602,-786191,0,0,0,1276000,0,1276000,2184000,559000,154000,405000,2386000,607000,1779000,2673809
2049,上銀            ,3613848,1677053,1936795,0,0,0,345000,0,345000,320000,85000,69000,16000,364000,60000,304000,2601795
2382,廣達            ,8041328,6474597,1566731,0,0,0,843000,15000,828000,119000,358000,196000,162000,385000,428000,-43000,2513731
2345,智邦            ,4056519,1818104,2238415,0,0,0,184000,30000,154000,51000,141000,88000,53000,110000,112000,-2000,2443415
6230,超眾            ,2338000,313000,2025000,0,0,0,0,6000,-6000,372000,36000,13000,23000,369000,20000,349000,2391000
068182,群創群益04購01  ,0,0,0,0,0,0,0,0,0,2364000,0,0,0,2684000,320000,2364000,2364000
1309,台達化          ,5176000,2636000,2540000,0,0,0,0,0,0,-188000,302000,490000,-188000,0,0,0,2352000
1326,台化            ,2615719,464725,2150994,0,0,0,2000,19000,-17000,96000,81000,0,81000,15000,0,15000,2229994
5871,中租-KY         ,3701318,1497600,2203718,0,0,0,1000,1000,0,17000,9000,26000,-17000,46000,12000,34000,2220718
3682,亞太電          ,2388000,185000,2203000,0,0,0,0,0,0,0,0,0,0,0,0,0,2203000
2368,金像電          ,11277000,9195000,2082000,0,0,0,50000,30000,20000,62000,730000,301000,429000,179000,546000,-367000,2164000
2634,漢翔            ,2785000,598000,2187000,0,0,0,0,0,0,-64000,23000,278000,-255000,206000,15000,191000,2123000
2392,正崴            ,1894000,111000,1783000,0,0,0,0,0,0,338000,121000,28000,93000,281000,36000,245000,2121000
3645,達邁            ,1829000,1888000,-59000,0,0,0,2175000,0,2175000,-7000,3000,10000,-7000,0,0,0,2109000
1718,中纖            ,2650000,300000,2350000,0,0,0,0,0,0,-254000,2000,14000,-12000,0,242000,-242000,2096000
03432B,臺股指凱基98熊13,0,0,0,0,0,0,0,0,0,2065000,0,0,0,3329000,1264000,2065000,2065000
