日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,8212565,524953530,64.3,64.3,63.5,64.0,-0.3,4818
109/01/03,7229367,462658609,64.0,64.2,63.5,64.2,0.2,3753
109/01/06,14527954,908791002,62.4,63.3,61.5,63.0,-1.2,5388
109/01/07,13139415,819100237,62.5,62.7,61.7,62.6,-0.4,4066
109/01/08,6632136,413549450,61.8,62.6,61.8,62.4,-0.2,2355
109/01/09,4931541,310887011,62.5,63.5,62.4,63.1,0.7,2171
109/01/10,7789946,496953846,63.1,64.1,63.1,64.0,0.9,3252
109/01/13,5858080,373447320,64.0,64.1,63.0,64.1,0.1,2974
109/01/14,7456035,480425233,64.3,64.6,63.9,64.6,0.5,3758
109/01/15,8788837,568909250,64.6,65.0,64.4,64.6,0.0,3939
109/01/16,7655506,496429026,64.8,65.0,64.4,65.0,0.4,3999
109/01/17,6270195,407251114,65.0,65.2,64.7,65.0,0.0,3665
109/01/20,3718133,241444606,65.0,65.1,64.8,65.0,0.0,1575
109/01/30,22651696,1412886605,63.5,63.5,61.3,61.6,-3.4,8104
109/01/31,12648920,787447440,61.6,62.8,61.6,62.0,0.4,3446
109/02/03,12538606,761101305,60.0,61.9,59.7,61.1,-0.9,5721
109/02/04,7625538,471909564,61.0,62.3,60.8,61.8,0.7,2687
109/02/05,10940429,680943875,61.9,62.8,61.5,62.2,0.4,4357
109/02/06,7356149,465425754,62.8,63.7,62.4,63.5,1.3,3023
109/02/07,6313054,400248523,63.4,63.7,62.8,63.7,0.2,2910
109/02/10,5635808,356461098,62.8,63.6,62.2,63.5,-0.2,2660
109/02/11,6193506,395741467,63.5,64.4,63.3,63.8,0.3,2808
109/02/12,5625421,362030844,63.6,64.5,63.6,64.3,0.5,3230
109/02/13,6336760,409953561,64.2,65.0,64.2,64.8,0.5,3256
109/02/14,8473400,544736900,64.0,64.9,63.9,64.0,-0.8,3297
109/02/17,6061111,383838339,63.0,63.8,62.7,63.6,-0.4,2490
109/02/18,8384820,526703021,63.0,63.4,62.1,63.1,-0.5,3239
109/02/19,4328961,273480019,63.0,63.5,62.5,63.3,0.2,2047
109/02/20,4264077,269423466,63.5,63.5,63.0,63.2,-0.1,1806
109/02/21,5153796,324637848,63.0,63.3,62.7,63.0,-0.2,1945
109/02/24,7615282,476234366,62.0,63.0,62.0,63.0,0.0,3058
109/02/25,5280276,331634348,62.2,63.1,62.2,62.8,-0.2,2343
109/02/26,8620941,539073259,62.1,62.9,62.1,62.6,-0.2,2245
109/02/27,7586203,472057317,62.3,62.7,62.0,62.0,-0.6,2550
109/03/02,14853195,912642795,60.2,62.0,60.2,61.6,-0.4,6058
109/03/03,8387190,517508190,61.6,62.0,61.3,61.6,0.0,3266
109/03/04,4778934,295202186,61.3,62.1,61.3,62.1,0.5,1954
109/03/05,8314156,517099408,62.1,62.7,61.8,62.3,0.2,3134
109/03/06,7209058,445920070,62.0,62.1,61.6,61.8,-0.5,3090
109/03/09,9009696,547808471,60.7,61.6,60.2,60.5,-1.3,3983
109/03/10,8958447,540445969,60.0,61.4,59.8,60.5,0.0,4117
109/03/11,5650159,343875932,60.4,61.4,60.3,60.7,0.2,2806
109/03/12,12769619,749840921,60.2,60.2,57.8,58.8,-1.9,6605
109/03/13,23301672,1334878642,56.2,61.2,54.5,60.6,1.8,9611
109/03/16,16417272,971519009,60.0,60.3,57.3,57.3,-3.3,7484
109/03/17,15429722,869672901,54.7,57.3,54.7,56.2,-1.1,5628
109/03/18,12345681,686311678,55.4,56.3,55.0,55.0,-1.2,6079
109/03/19,16602828,871325956,53.3,54.1,50.7,51.7,-3.3,8665
109/03/20,17879218,970698928,52.4,56.0,52.4,54.8,3.1,7591
109/03/23,7673021,409989519,52.0,54.9,52.0,52.6,-2.2,3726
109/03/24,11018118,625219517,54.9,57.4,54.8,57.3,4.7,5251
109/03/25,10533388,631554304,60.5,60.6,58.6,59.6,2.3,6290
109/03/26,8167624,490700440,60.3,60.6,58.9,60.1,0.5,3683
109/03/27,7426101,449302160,61.2,61.5,59.3,60.2,0.1,4241
109/03/30,7054744,419115307,59.1,60.0,58.6,59.6,-0.6,3023
109/03/31,10606723,645957721,61.0,62.0,59.8,60.2,0.6,4997
109/04/01,6061251,362965260,60.2,60.5,59.6,59.7,-0.5,2749
109/04/06,15563075,975558286,63.9,64.0,61.9,62.8,3.1,6840
109/04/07,11580295,728628007,63.4,63.7,62.3,62.8,0.0,6072
109/04/08,7034523,440225673,62.6,63.0,62.3,62.5,-0.3,2441
109/04/09,12000739,750143533,64.5,64.5,61.5,61.8,-0.7,6556
109/04/10,3689074,228263588,62.1,62.4,61.7,61.8,0.0,1813
109/04/13,3715114,230105839,62.0,62.4,61.7,61.9,0.1,2054
109/04/14,11259024,711982904,62.6,63.8,62.4,63.7,1.8,5335
109/04/15,14624256,928305014,63.7,63.9,63.1,63.4,-0.3,5385
109/04/16,11116449,703132421,62.8,63.7,62.6,63.1,-0.3,4357
109/04/17,11505227,727197044,63.6,64.0,62.2,62.8,-0.3,5182
109/04/20,8380004,528111330,62.7,63.3,62.6,63.1,0.3,3925
109/04/21,7052376,440182912,62.6,63.2,61.7,62.2,-0.9,4554
109/04/22,5995944,371318610,62.0,62.4,61.7,62.0,-0.2,4032
109/04/23,5613054,351572582,62.3,63.3,61.9,62.9,0.9,3206
109/04/24,5987810,374181193,63.0,63.1,62.2,62.4,-0.5,3250
109/04/27,8624648,540299152,63.2,63.2,62.0,62.5,0.1,2910
109/04/28,10079757,633925404,63.0,63.2,62.7,62.8,0.3,3742
109/04/29,12204298,776606255,63.5,64.2,63.1,63.2,0.4,5078
109/04/30,14997987,964049528,63.6,64.9,63.4,64.9,1.7,7061
109/05/04,10448965,665564860,64.0,64.3,63.0,64.0,-0.9,4965
109/05/05,10354755,664327780,63.9,64.7,63.8,64.0,0.0,4820
109/05/06,8366864,538689816,64.0,64.7,63.3,64.5,0.5,3882
109/05/07,6470523,417834426,64.5,64.8,64.3,64.5,0.0,2661
109/05/08,10388422,678378772,65.0,66.2,64.8,64.9,0.4,5110
109/05/11,12186129,804205572,65.8,66.4,65.1,65.9,1.0,5707
109/05/12,11313889,740015802,65.0,66.0,64.8,65.6,-0.3,5447
109/05/13,6963950,455190100,65.3,65.6,65.1,65.5,-0.1,3807
109/05/14,8347048,543358120,65.5,66.2,64.5,65.0,-0.5,4887
109/05/15,13727025,896227617,65.5,65.9,64.4,65.2,0.2,6982
109/05/18,13618500,902871670,65.2,67.0,65.2,66.5,1.3,7591
109/05/19,21077776,1442012512,68.0,69.3,67.5,68.3,1.8,10475
109/05/20,10612733,727264558,69.0,69.2,67.7,68.3,0.0,6109
109/05/21,16351331,1137733660,69.0,69.9,68.9,69.8,1.5,8515
109/05/22,9504649,657515995,70.0,70.0,68.6,68.7,-1.1,5613
109/05/25,5751434,396165985,69.5,69.7,67.6,69.0,0.3,3512
109/05/26,8795859,612135403,69.3,69.9,69.3,69.5,0.5,4765
109/05/27,10711000,743181200,70.0,70.1,68.8,69.0,-0.5,4173
109/05/28,13483389,932745143,69.6,69.8,68.9,69.5,0.5,5045
109/05/29,24360965,1696564450,69.5,70.0,68.9,70.0,0.5,4057
109/06/01,9483498,664303691,70.1,70.5,69.5,69.9,-0.1,5404
109/06/02,7537887,527287901,70.0,70.3,69.5,69.9,0.0,3808
109/06/03,10202967,715216290,70.3,70.5,69.8,70.1,0.2,4544
109/06/04,19806807,1412121333,70.6,72.0,70.5,71.5,1.4,8050
109/06/05,7904958,567853954,71.9,72.0,71.5,72.0,0.5,3963
109/06/08,20925364,1461219765,70.0,70.8,69.0,70.8,-1.2,9676
109/06/09,12637883,890253836,70.4,70.9,69.5,70.8,0.0,6980
109/06/10,14046152,990575966,71.0,71.4,69.8,69.8,-1.0,7148
109/06/11,10164157,710431370,70.2,70.5,69.5,69.7,-0.1,4773
109/06/12,14664068,996826597,68.9,69.0,67.5,67.8,-1.9,6670
109/06/15,8911957,599040019,67.2,67.8,66.7,67.0,-0.8,4762
109/06/16,7856143,533232524,68.0,68.1,67.6,68.0,1.0,4148
109/06/17,6996531,475673498,68.5,68.9,67.6,68.1,0.1,4427
109/06/18,7833057,536465606,68.5,68.8,68.2,68.8,0.7,5049
109/06/19,19301217,1353174083,70.6,71.6,69.6,69.6,0.8,8364
109/06/22,7559976,528927120,70.1,70.2,69.7,70.0,0.4,3665
109/06/23,7105249,498036895,70.1,70.5,69.7,70.0,0.0,2882
109/06/24,6660955,471631513,70.5,71.4,70.4,70.9,0.9,3346
109/06/29,7515570,531288314,70.1,71.5,69.9,70.9,0.0,4095
109/06/30,8072316,572275189,71.4,71.4,70.7,71.0,0.1,3456
109/07/01,7218199,515933576,71.0,71.7,70.9,71.6,0.6,2911
109/07/02,11648718,846395585,71.9,73.1,71.8,72.6,1.0,4484
109/07/03,11031971,815748854,73.0,74.2,73.0,74.0,1.4,5677
109/07/06,9586314,717711950,74.3,75.4,74.2,75.4,1.4,4151
109/07/07,16760003,1266865800,75.5,76.2,74.9,75.8,0.4,5828
109/07/08,19448784,1491531310,75.8,77.1,75.5,76.7,0.9,6259
109/07/09,15644715,1212609009,77.3,78.7,76.5,76.7,0.0,6468
109/07/10,10192024,779722723,77.0,77.3,75.0,77.0,0.3,5075
109/07/13,6935986,538173794,77.3,78.1,77.2,77.8,0.8,2739
109/07/14,6472204,500980248,77.6,77.9,76.6,77.5,-0.3,2686
109/07/15,10257813,806167321,78.3,79.3,78.1,78.7,1.2,5018
109/07/16,6483667,509336826,79.3,79.3,78.0,78.0,-0.7,2932
109/07/17,6826458,536549024,79.5,79.8,77.7,78.0,0.0,3598
109/07/20,8673119,684970744,78.6,79.6,78.3,79.0,1.0,5472
109/07/21,14055707,1124091084,79.4,80.2,79.4,79.9,0.9,5163
109/07/22,14392163,1170880302,79.7,82.0,79.7,82.0,2.1,7254
109/07/23,9547855,783490185,82.0,82.8,80.7,82.0,0.0,4429
109/07/24,13993761,1127083014,81.2,82.0,79.2,79.9,-2.1,6734
109/07/27,13449732,1082790341,79.8,81.8,79.7,79.8,-0.1,6506
109/07/28,15522929,1238626738,78.9,80.9,78.9,79.7,-0.1,6619
109/07/29,13760755,1108939961,80.0,81.3,79.9,80.6,0.9,8168
109/07/30,20279862,1663365384,82.0,82.5,81.0,82.1,1.5,8707
109/07/31,21467875,1768703648,82.7,82.8,81.8,81.8,-0.3,7191
109/08/03,36948928,2762518815,74.7,76.2,73.5,73.6,X0.00,14312
109/08/04,16174435,1204281571,74.5,75.3,73.3,75.3,+1.70,8047
109/08/05,16250900,1246999815,75.7,77.9,75.3,77.4,+2.10,8777
109/08/06,11131499,852375757,77.5,77.8,75.9,76.2,-1.20,6433
109/08/07,9316727,712939202,76.2,77.3,76.0,76.0,-0.20,5592
109/08/10,10840768,831464342,76.3,77.6,76.3,76.3,+0.30,5560
109/08/11,7943289,602029729,76.5,76.5,75.3,75.3,-1.00,3952
109/08/12,5835317,434307467,75.8,75.8,73.8,74.2,-1.10,3536
109/08/13,5731191,428769388,75.2,75.4,74.2,75.0,+0.80,3441
109/08/14,44662142,3580953412,77.0,82.0,76.8,81.0,+6.00,20073
109/08/17,26052630,2175717578,82.2,84.6,82.0,84.3,+3.30,15524
109/08/18,16306372,1347883893,84.6,85.0,81.9,82.2,-2.10,8841
109/08/19,10396615,858613011,83.0,84.3,81.5,81.5,-0.70,6046
109/08/20,15395597,1212648446,81.5,81.5,76.1,78.9,-2.60,8317
