日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,848503,35636254,41.85,42.1,41.8,42.1,0.3,570
109/01/03,1516951,63575781,42.15,42.15,41.8,41.95,-0.15,897
109/01/06,1983944,82301286,41.9,41.9,41.3,41.4,-0.55,959
109/01/07,1382796,57290946,41.5,41.55,41.3,41.35,-0.05,656
109/01/08,2159476,88916608,41.3,41.6,41.0,41.05,-0.3,1025
109/01/09,1332636,55197700,41.05,41.7,41.05,41.5,0.45,633
109/01/10,1031668,42915427,41.5,41.75,41.3,41.75,0.25,530
109/01/13,2296340,97043246,41.9,42.4,41.9,42.4,0.65,1115
109/01/14,1319846,55847841,42.4,42.45,42.2,42.2,-0.2,761
109/01/15,1596613,67114110,42.1,42.2,41.8,42.1,-0.1,753
109/01/16,1130471,47544466,42.15,42.15,41.95,42.15,0.05,729
109/01/17,952818,40093127,42.15,42.2,42.0,42.1,-0.05,503
109/01/20,1243401,52476028,42.0,42.3,42.0,42.25,0.15,743
109/01/30,9388943,375324571,41.3,41.3,39.1,39.1,-3.15,4679
109/01/31,4144993,164095160,39.1,40.1,39.1,39.35,0.25,2114
109/02/03,4229801,165101290,39.0,39.35,38.55,39.35,0.0,2411
109/02/04,2305784,91205460,39.1,39.9,39.05,39.6,0.25,1368
109/02/05,2427711,96568905,39.55,39.95,39.3,39.95,0.35,1106
109/02/06,1854198,74318428,40.0,40.25,40.0,40.0,0.05,790
109/02/07,1724097,68408751,39.7,40.0,39.6,39.6,-0.4,952
109/02/10,2265845,88939553,39.5,39.5,38.95,39.4,-0.2,1145
109/02/11,1604681,63164195,39.45,39.55,39.3,39.3,-0.1,786
109/02/12,1646452,65098912,39.5,39.65,39.45,39.45,0.15,912
109/02/13,1177127,46612749,39.45,39.7,39.45,39.55,0.1,628
109/02/14,1306282,52101880,39.55,40.1,39.55,39.95,0.4,682
109/02/17,1373216,54292897,39.8,39.8,39.45,39.45,-0.5,852
109/02/18,1664320,65257463,39.3,39.4,39.1,39.2,-0.25,909
109/02/19,1565185,61645102,39.55,39.55,39.15,39.45,0.25,860
109/02/20,2219815,87015052,39.5,39.6,39.1,39.1,-0.35,1296
109/02/21,1558323,61191400,39.3,39.4,39.15,39.15,0.05,773
109/02/24,2864600,111386398,39.0,39.0,38.8,38.9,-0.25,1616
109/02/25,2216719,85759443,38.6,38.8,38.55,38.7,-0.2,1413
109/02/26,4049520,157033186,38.45,39.1,38.45,39.1,0.4,2146
109/02/27,5755079,225493907,38.9,39.55,38.8,39.55,0.45,1943
109/03/02,3262704,126987014,38.5,39.15,38.5,39.0,-0.55,1747
109/03/03,2785779,108766841,39.0,39.2,38.9,39.1,0.1,1418
109/03/04,2423972,94899397,38.95,39.4,38.95,39.2,0.1,1101
109/03/05,1764264,69130390,39.2,39.4,39.05,39.2,0.0,883
109/03/06,3687189,143412271,39.2,39.2,38.7,39.0,-0.2,1729
109/03/09,6569092,249931263,38.0,38.3,37.8,38.1,-0.9,2703
109/03/10,4519265,171642828,37.8,38.45,37.6,38.35,0.25,1688
109/03/11,4929909,185721669,37.3,38.0,37.3,38.0,-0.35,2236
109/03/12,8996526,336630781,37.9,37.9,37.0,37.85,-0.15,3335
109/03/13,11587716,406526726,36.0,36.3,34.3,36.0,-1.85,4695
109/03/16,6231581,220169156,36.2,36.2,34.9,34.9,-1.1,3285
109/03/17,9644672,320331986,34.0,34.25,32.95,33.0,-1.9,4537
109/03/18,14962742,493823736,33.0,33.2,32.85,33.0,0.0,4318
109/03/19,18293437,555020953,31.6,31.7,29.7,29.7,-3.3,5389
109/03/20,13940507,421630021,29.8,31.15,29.7,30.25,0.55,4068
109/03/23,5929530,175980250,28.5,30.05,28.5,29.6,-0.65,2556
109/03/24,4991854,154295995,30.05,31.5,30.0,30.7,1.1,2458
109/03/25,4852079,152404623,31.0,31.7,31.0,31.55,0.85,2454
109/03/26,3675454,114854879,31.75,32.0,31.0,31.0,-0.55,1693
109/03/27,6843218,212779752,31.5,31.75,30.85,31.0,0.0,2749
109/03/30,4638650,142359268,30.45,31.25,30.0,31.15,0.15,1759
109/03/31,4580019,142005489,31.55,31.8,30.6,30.8,-0.35,1924
109/04/01,3249640,99245705,30.9,30.9,30.45,30.45,-0.35,1596
109/04/06,5419060,162953604,30.3,30.6,29.7,30.05,-0.4,2557
109/04/07,5867175,184662105,30.95,32.6,30.55,31.4,1.35,3162
109/04/08,5560288,179493685,31.4,32.8,31.4,32.6,1.2,2552
109/04/09,9925582,320654761,32.75,33.4,32.05,32.1,-0.5,1966
109/04/10,6624149,214837117,32.1,32.6,32.1,32.55,0.45,1529
109/04/13,2422348,78124732,32.45,32.8,32.05,32.05,-0.5,1711
109/04/14,4524555,149900252,32.1,33.65,31.95,33.3,1.25,2261
109/04/15,3972103,131992046,33.4,33.5,33.05,33.4,0.1,2731
109/04/16,3853326,126388208,33.0,33.1,32.5,32.85,-0.55,2162
109/04/17,5314795,176866742,33.1,33.75,32.95,33.1,0.25,2250
109/04/20,2461474,80707092,33.0,33.0,32.65,32.75,-0.35,1218
109/04/21,4206778,134768546,32.5,32.75,31.7,31.8,-0.95,2461
109/04/22,2689792,84207583,31.3,31.5,31.1,31.3,-0.5,1372
109/04/23,4876912,151414604,31.0,31.65,30.85,30.85,-0.45,2194
109/04/24,3971043,121914523,30.85,31.1,30.55,30.6,-0.25,1872
109/04/27,7410182,238921836,31.45,33.0,31.2,32.8,2.2,3646
109/04/28,8911532,303827959,33.1,35.0,33.1,34.55,1.75,4817
109/04/29,5747046,199605578,34.9,35.15,34.45,34.5,-0.05,3086
109/04/30,9959821,345458451,34.55,34.95,34.35,34.55,0.05,4386
109/05/04,6414346,218990123,33.4,34.6,33.4,34.1,-0.45,3919
109/05/05,5869286,204133778,34.35,35.0,34.1,34.55,0.45,3130
109/05/06,4719851,162792304,34.5,35.05,33.55,34.5,-0.05,2572
109/05/07,2128448,72888459,34.5,34.5,34.1,34.15,-0.35,1174
109/05/08,3422177,116762454,34.9,34.9,33.85,33.85,-0.3,1691
109/05/11,2900218,98649779,34.5,34.5,33.85,33.85,0.0,1553
109/05/12,3040819,101803668,33.5,33.8,33.3,33.35,-0.5,1761
109/05/13,3366542,111519039,33.35,33.6,33.0,33.05,-0.3,2108
109/05/14,6336502,203738902,32.6,32.75,31.8,32.0,-1.05,3735
109/05/15,3921161,125433781,32.5,32.5,31.7,31.8,-0.2,2129
109/05/18,3226921,104566734,31.8,32.8,31.8,32.25,0.45,1856
109/05/19,3804557,126366834,33.65,33.65,32.7,33.3,1.05,1996
109/05/20,4357755,145520329,33.45,33.8,32.8,33.7,0.4,2134
109/05/21,2587130,87028632,33.5,33.8,33.35,33.8,0.1,1578
109/05/22,4405679,144996294,33.5,33.5,32.5,32.55,-1.25,2550
109/05/25,2170214,70164403,32.65,32.8,31.9,32.5,-0.05,1081
109/05/26,4970623,166651751,32.9,33.8,32.65,33.8,1.3,2527
109/05/27,3635346,122792364,33.8,34.0,33.35,34.0,0.2,1988
109/05/28,3976717,133755045,34.3,34.4,33.1,33.55,-0.45,1851
109/05/29,16100497,529782243,33.5,33.75,32.8,32.8,-0.75,1875
109/06/01,4619610,157144828,33.45,34.55,33.3,33.75,0.95,2544
109/06/02,1973092,66716099,33.6,34.15,33.6,33.8,0.05,1154
109/06/03,5204504,178853429,34.4,34.6,33.9,34.6,0.8,2981
109/06/04,4206475,145954440,34.9,35.05,34.3,34.75,0.15,2190
109/06/05,4259768,148002194,34.75,34.95,34.5,34.75,0.0,2122
109/06/08,5090218,178659473,34.9,35.3,34.75,35.2,0.45,2432
109/06/09,3727093,131657169,35.3,35.45,35.0,35.4,0.2,2092
109/06/10,5200525,186004103,35.4,36.0,35.4,36.0,0.6,2631
109/06/11,6173785,217309871,35.95,36.0,34.55,34.7,-1.3,3044
109/06/12,3774018,129237117,33.8,34.5,33.8,34.45,-0.25,1830
109/06/15,3499575,120788186,34.65,34.95,34.0,34.2,-0.25,1760
109/06/16,3749841,128924507,34.35,34.75,34.05,34.15,-0.05,2065
109/06/17,9224025,328440468,34.6,36.2,34.6,35.7,1.55,4877
109/06/18,4802873,169647047,35.8,35.9,35.0,35.1,-0.6,2392
109/06/19,5224040,183162431,35.2,35.45,35.0,35.0,-0.1,2066
109/06/22,3303315,114578987,35.1,35.1,34.5,34.6,-0.4,1407
109/06/23,2862560,98941867,34.65,34.9,34.1,34.7,0.1,1286
109/06/24,2879661,99725465,34.6,35.3,34.5,34.5,-0.2,1126
109/06/29,3938061,133901417,34.3,34.45,33.75,33.95,-0.55,2124
109/06/30,3891899,131481377,34.0,34.0,33.65,33.75,-0.2,1934
109/07/01,3016937,102095702,33.75,34.2,33.75,33.9,+0.15,2145
109/07/02,6986381,243055709,34.0,35.25,34.0,35.15,+1.25,3814
109/07/03,2576776,90267008,35.5,35.5,34.85,34.95,-0.20,1410
109/07/06,5222203,182852849,35.0,35.25,34.85,35.1,+0.15,2645
109/07/07,3527588,123984297,35.15,35.4,35.0,35.15,+0.05,1592
109/07/08,9105120,326111690,35.2,36.2,35.1,36.0,+0.85,4442
109/07/09,6157224,222197814,36.15,36.35,35.8,36.0, 0.00,3174
109/07/10,5377939,191001535,36.0,36.0,35.15,35.5,-0.50,3130
109/07/13,5807892,208001539,35.8,36.1,35.5,35.55,+0.05,2753
109/07/14,5247681,187053994,35.95,35.95,35.5,35.55, 0.00,2461
109/07/15,7783497,282912901,35.9,36.8,35.75,36.35,+0.80,3183
109/07/16,11482759,425547633,36.5,37.4,36.4,37.0,+0.65,5157
109/07/17,7228469,262675634,37.3,37.4,35.7,35.7,-1.30,3069
109/07/20,5492122,193381707,35.75,35.9,34.9,35.05,-0.65,2175
109/07/21,3770479,134261398,35.5,35.8,35.25,35.55,+0.50,1375
109/07/22,6649537,236963128,35.25,35.95,35.25,35.65,+0.10,1500
109/07/23,5957755,209427925,34.85,35.7,34.7,35.0,X0.00,2215
109/07/24,3513166,121790875,34.75,35.0,34.35,34.5,-0.50,1678
109/07/27,5314960,181805390,34.45,34.9,33.75,34.0,-0.50,2068
109/07/28,6713033,225000939,33.5,33.85,33.2,33.55,-0.45,2689
109/07/29,2911772,98542309,33.55,34.15,33.45,33.65,+0.10,1463
109/07/30,3375800,114655178,33.75,34.55,33.5,34.4,+0.75,1665
109/07/31,2666196,90831304,34.15,34.4,33.95,33.95,-0.45,1288
109/08/03,5414440,182945293,33.7,34.1,33.6,33.6,-0.35,2949
109/08/04,8369965,293211545,33.65,35.6,33.65,35.55,1.95,4371
109/08/05,8431489,301941236,35.55,36.4,35.1,35.9,0.35,4448
109/08/06,9129436,332780030,35.9,36.95,35.9,36.4,0.5,3830
109/08/07,3840626,137312820,36.25,36.4,35.3,35.35,-1.05,1991
109/08/10,2633007,93555687,35.35,35.85,35.25,35.4,0.05,1088
109/08/11,13364089,490076540,35.7,37.25,35.65,36.65,1.25,5216
109/08/12,6615489,242315139,37.0,37.3,36.0,36.35,-0.3,3100
109/08/13,10333534,385225909,36.8,37.75,36.7,37.75,1.4,4589
109/08/14,18315961,705058315,38.0,39.25,37.1,38.65,0.9,6576
109/08/17,17104389,665235754,39.0,39.2,38.0,38.75,0.1,7302
109/08/18,9148506,353224484,38.9,39.0,38.1,39.0,0.25,4087
109/08/19,5635459,217443010,39.05,39.1,38.3,38.4,-0.6,2972
109/08/20,9560510,355468866,38.25,38.35,36.05,37.45,-0.95,4297
