日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,39909583,3470538038,85.0,89.7,84.5,86.0,2.6,21014
109/01/03,18771916,1597541741,87.4,87.6,83.6,84.8,-1.2,9653
109/01/06,7741278,648294621,84.0,84.7,83.3,83.7,-1.1,4068
109/01/07,16643874,1353175852,83.4,84.2,80.0,81.1,-2.6,8977
109/01/08,25273946,2102892722,82.5,84.6,82.0,82.6,1.5,11943
109/01/09,14067766,1183321659,84.8,84.8,83.1,83.4,0.8,8440
109/01/10,11330221,950555982,83.6,84.8,82.8,84.3,0.9,5726
109/01/13,22769190,1958564324,85.0,87.3,84.3,85.5,1.2,13049
109/01/14,10277966,877021563,86.3,86.4,84.5,85.3,-0.2,5240
109/01/15,7547167,639147187,86.1,86.1,83.8,83.8,-1.5,4305
109/01/16,9343213,779130542,84.0,84.4,82.8,83.4,-0.4,5042
109/01/17,8028392,669125047,84.2,84.2,82.9,83.6,0.2,4149
109/01/20,11357538,965451065,84.5,85.4,84.4,85.2,1.6,5634
109/01/30,19179714,1524418064,82.0,82.1,77.5,77.8,-7.4,9997
109/01/31,15225694,1200043326,78.6,80.8,77.5,78.1,0.3,8033
109/02/03,11822187,915858203,75.2,79.4,74.2,79.4,1.3,6138
109/02/04,9951627,790582299,79.8,80.4,78.1,79.9,0.5,5803
109/02/05,30902694,2577565656,82.5,84.8,81.5,84.4,4.5,14000
109/02/06,13576811,1152147435,85.4,85.4,83.8,85.1,0.7,7332
109/02/07,10261379,866807236,84.5,85.2,83.4,84.3,-0.8,5271
109/02/10,8225723,683489665,82.9,84.0,82.3,83.5,-0.8,4783
109/02/11,7788211,656221235,84.0,85.1,83.4,85.1,1.6,4336
109/02/12,10126549,857075468,85.0,85.0,84.4,84.7,-0.4,5760
109/02/13,20343159,1756344086,85.9,86.9,85.6,86.5,1.8,9521
109/02/14,7400705,639765990,86.3,86.8,85.8,86.8,0.3,4070
109/02/17,12730878,1117498489,86.5,88.7,86.0,88.0,1.2,7573
109/02/18,21712885,1844351301,87.1,87.2,83.8,83.8,-4.2,12406
109/02/19,12080531,1018269200,83.9,85.4,82.1,84.8,1.0,7230
109/02/20,15447462,1298646008,85.8,85.9,83.2,83.6,-1.2,8325
109/02/21,6932963,584167466,84.4,84.7,83.7,84.4,0.8,3868
109/02/24,11128577,942416650,82.6,85.6,82.6,84.5,0.1,5643
109/02/25,14275753,1189353411,83.2,83.9,82.9,83.3,-1.2,7111
109/02/26,14196041,1162015538,81.6,82.5,81.3,81.4,-1.9,7390
109/02/27,21665858,1703361546,81.2,81.7,77.3,77.3,-4.1,11746
109/03/02,22102390,1689465219,75.2,78.0,74.3,76.3,-1.0,9535
109/03/03,16055384,1255050571,79.0,79.0,77.6,77.8,1.5,6583
109/03/04,12159741,950697737,78.3,78.8,77.0,78.6,0.8,5226
109/03/05,14291334,1143093375,79.3,80.6,79.2,80.1,1.5,7015
109/03/06,9876939,774984565,78.7,79.5,77.5,78.5,-1.6,6024
109/03/09,13471976,1021815976,76.9,77.5,74.8,74.8,-3.7,8274
109/03/10,11111452,823782400,73.0,75.4,73.0,74.9,0.1,6084
109/03/11,8695424,645944976,75.5,75.6,72.6,72.6,-2.3,5151
109/03/12,29770828,1999381749,70.8,71.1,65.5,66.0,-6.6,15403
109/03/13,21329411,1295427152,60.0,63.6,59.5,62.9,-3.1,9980
109/03/16,17321014,1053845421,63.3,64.3,58.6,59.2,-3.7,9529
109/03/17,21638878,1200127890,55.2,58.3,54.1,54.1,-5.1,11169
109/03/18,21734141,1144418607,55.5,55.9,50.2,50.2,-3.9,11722
109/03/19,26442362,1214255439,47.6,48.7,45.2,45.2,-5.0,9880
109/03/20,29903626,1450427386,47.1,49.7,47.1,48.65,3.45,14027
109/03/23,23707617,1056604925,46.9,46.95,44.0,44.2,-4.45,12473
