日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,8548211,3737101549,443.0,444.5,432.5,436.0,-1.0,6725
109/01/03,28118067,12940430856,454.5,475.0,447.5,468.0,32.0,22014
109/01/06,12740655,5906745227,468.0,470.5,458.5,460.0,-8.0,10033
109/01/07,21192602,8941001228,416.0,435.0,414.0,414.0,-46.0,16243
109/01/08,35163274,13747417538,388.0,406.0,381.0,387.0,-27.0,26491
109/01/09,14140532,5608480296,397.0,402.0,390.0,392.0,5.0,10879
109/01/10,9523566,3773988004,397.0,402.5,390.5,392.5,0.5,7356
109/01/13,9042478,3521609398,396.0,398.0,383.0,390.0,-2.5,7204
109/01/14,17957312,7350849040,400.5,419.0,397.5,419.0,29.0,13762
109/01/15,14049419,5917089885,425.0,427.5,411.5,413.0,-6.0,10737
109/01/16,9812476,4134731920,418.5,427.0,415.5,417.0,4.0,7689
109/01/17,7288120,3052115071,424.0,425.5,413.0,413.0,-4.0,5940
109/01/20,4665752,1943916084,417.0,418.5,414.5,415.5,2.5,3600
109/01/30,16309733,6220851642,380.0,393.5,374.0,374.0,-41.5,12090
109/01/31,13467785,5178378580,382.5,389.5,377.5,386.5,12.5,10076
109/02/03,15756985,5975216090,373.5,392.0,367.0,392.0,5.5,11457
109/02/04,17514716,7234014504,402.0,423.0,399.0,418.5,26.5,13613
109/02/05,14773647,6211069858,425.5,426.0,410.0,413.0,-5.5,10730
109/02/06,9846376,4143693044,422.0,426.5,416.0,417.0,4.0,7572
109/02/07,9884754,4132772999,419.5,421.5,414.0,416.5,-0.5,7260
109/02/10,11237658,4691249511,416.5,422.5,409.5,418.5,2.0,8562
109/02/11,17162890,7486653430,429.5,442.0,429.0,437.0,18.5,13160
109/02/12,12732741,5666524968,447.0,449.0,440.0,448.0,11.0,9810
109/02/13,10823507,4825516766,453.0,455.0,437.5,439.0,-9.0,8656
109/02/14,14994074,6743544744,445.0,457.0,438.5,457.0,18.0,11304
109/02/17,10235254,4646002143,454.5,460.0,448.0,453.0,-4.0,8122
109/02/18,20988371,9682504063,469.5,471.5,450.0,450.0,-3.0,15987
109/02/19,16209294,7340103240,454.0,460.0,441.0,460.0,10.0,12126
109/02/20,10709955,4945748293,463.0,466.0,457.5,457.5,-2.5,8093
109/02/21,17354003,8114607416,464.5,473.5,460.5,472.0,14.5,13165
109/02/24,15141728,7156269536,468.0,484.5,464.0,484.5,12.5,11425
109/02/25,24217945,11832864160,478.0,498.0,475.5,485.0,0.5,18564
109/02/26,33457849,15414339012,476.0,482.5,437.0,441.0,-44.0,25189
109/02/27,33187422,14139228630,441.0,449.0,410.0,410.0,-31.0,24782
109/03/02,27123904,11209120892,406.0,426.0,398.0,418.5,8.5,19854
109/03/03,17748337,7579981877,434.0,436.5,416.5,417.0,-1.5,13143
109/03/04,23244898,9413559486,419.0,419.0,398.5,400.5,-16.5,17492
109/03/05,15313493,6233636088,408.0,412.0,401.5,410.5,10.0,11876
109/03/06,11601616,4701010560,404.0,409.0,401.5,406.5,-4.0,8747
109/03/09,18877374,7415564860,398.0,402.5,383.5,386.0,-20.5,13980
109/03/10,20610783,7887190851,373.5,394.5,373.5,394.5,8.5,15177
109/03/11,17098764,6733175640,396.0,403.5,378.0,383.5,-11.0,13138
109/03/12,27805955,9936840291,381.0,381.0,345.5,345.5,-38.0,20344
109/03/13,24783620,7782221640,313.0,326.5,311.0,320.0,-25.5,16696
109/03/16,25494123,7942862793,320.0,330.5,290.5,290.5,-29.5,18251
109/03/17,38827745,10792166915,276.0,296.0,262.0,265.0,-25.5,28134
109/03/18,27465524,7296200644,273.0,275.0,250.0,254.5,-10.5,19059
109/03/19,29688751,7068121230,253.5,256.5,229.5,229.5,-25.0,19730
109/03/20,25209846,6242319192,244.0,252.0,239.0,252.0,22.5,16243
109/03/23,18554723,4520979478,241.0,254.5,232.0,252.0,0.0,13301
109/03/24,17219746,4679921150,269.0,277.0,265.5,274.0,22.0,13270
109/03/25,21333546,6195843024,290.0,295.5,283.0,292.0,18.0,16090
109/03/26,17889890,5133348682,292.0,292.5,280.0,291.5,-0.5,13474
109/03/27,14558400,4263614868,303.5,305.0,280.5,280.5,-11.0,11630
109/03/30,9849553,2701858340,267.5,280.0,267.0,278.0,-2.5,7547
109/03/31,9349063,2617261388,287.0,287.5,272.5,274.5,-3.5,7079
109/04/01,9186334,2505865658,272.0,277.0,268.0,272.5,-2.0,6775
109/04/06,16526254,4656319160,283.0,288.5,275.0,288.0,15.5,11396
109/04/07,22324704,6647196807,297.5,301.5,294.0,299.5,11.5,15703
109/04/08,36580695,11551333655,300.5,329.0,298.5,329.0,29.5,24602
109/04/09,38122004,12939467344,341.5,348.5,333.0,335.0,6.0,27242
109/04/10,21336899,7266115172,337.0,344.5,335.0,343.0,8.0,16019
109/04/13,21289141,7133245985,341.0,341.5,330.0,332.5,-10.5,15687
109/04/14,19499009,6599144010,336.0,342.0,334.0,338.0,5.5,12851
109/04/15,65520676,22665496156,329.0,359.0,328.5,343.5,5.5,45519
109/04/16,24324203,8267587706,338.0,343.0,336.0,341.5,-2.0,17051
109/04/17,27935233,9632421686,349.0,353.0,338.0,339.5,-2.0,19253
109/04/20,15392526,5249809970,339.0,344.5,337.0,343.0,3.5,11038
109/04/21,22079257,7348813296,338.5,342.0,325.0,326.0,-17.0,16142
109/04/22,25198766,8395565536,327.0,345.0,321.5,344.0,18.0,18031
109/04/23,25038913,8690209485,348.5,352.5,342.0,344.0,0.0,18116
109/04/24,19811817,6818283682,342.5,348.5,338.5,345.0,1.0,13523
109/04/27,35901034,13108544363,360.0,379.5,355.5,379.5,34.5,24900
109/04/28,43220251,16799050635,384.0,401.0,381.0,383.5,4.0,32126
109/04/29,23027753,8846000646,385.0,389.0,380.0,380.0,-3.5,16570
109/04/30,26927142,10509493531,390.0,395.0,385.0,391.0,11.0,19420
109/05/04,22700776,8705574192,372.0,391.5,372.0,391.5,0.5,16985
109/05/05,51277140,21204430120,403.5,426.5,403.0,407.0,15.5,37458
109/05/06,24553397,10196544652,415.0,419.5,411.0,416.0,9.0,18509
109/05/07,26384470,10963420640,421.0,424.5,410.0,410.0,-6.0,19226
109/05/08,20375769,8296401945,415.0,416.0,402.0,403.5,-6.5,15287
109/05/11,15265921,6276975290,410.5,415.5,405.5,413.5,10.0,11241
109/05/12,18936331,7740723879,413.5,418.0,400.0,406.0,-7.5,14148
109/05/13,22286620,8964147600,404.0,408.0,397.0,402.5,-3.5,16323
109/05/14,24842784,9763367692,398.5,401.0,382.0,385.5,-17.0,18215
109/05/15,23332264,9083697696,397.5,398.0,382.0,386.0,0.5,17253
109/05/18,22091787,8332049551,382.0,388.5,368.5,369.0,-17.0,16372
109/05/19,16504079,6187182704,378.5,380.0,372.0,373.0,4.0,12232
109/05/20,33041224,12779005688,381.0,395.0,379.0,384.5,11.5,24029
109/05/21,18520790,7128217219,388.0,391.5,380.5,382.0,-2.5,13261
109/05/22,15033489,5616185595,379.5,380.0,371.0,371.5,-10.5,11337
109/05/25,23638313,8649722940,371.5,377.0,356.0,376.0,4.5,17616
109/05/26,14315026,5403127701,381.0,382.5,371.0,371.0,-5.0,10348
109/05/27,13488699,5044860722,372.5,378.0,370.0,376.0,5.0,9694
109/05/28,13104627,4917209871,379.0,381.5,370.0,370.0,-6.0,9593
109/05/29,13260438,4889261436,367.5,372.5,364.0,370.5,0.5,8484
109/06/01,16762692,6372294112,375.5,386.0,373.5,385.5,+15.00,12110
109/06/02,16222643,6262308698,389.0,391.0,380.5,383.0,-2.50,11793
109/06/03,18149635,7090385190,390.5,394.5,385.5,392.0,+9.00,13046
109/06/04,23245616,9294990016,398.5,404.0,396.5,400.5,+8.50,16532
109/06/05,27175886,10739487429,405.0,405.5,386.5,387.5,-13.00,20223
109/06/08,17786490,6982942060,393.5,396.5,387.0,393.0,+5.50,13021
109/06/09,10599605,4169462370,394.5,396.5,390.0,392.5,-0.50,7263
109/06/10,14082126,5590935396,396.5,401.0,394.5,394.5,+2.00,10120
109/06/11,16082971,6229705303,394.5,396.0,382.0,383.5,-11.00,12164
109/06/12,14763044,5529443896,372.0,381.0,368.0,381.0,-2.50,11185
109/06/15,10382129,3969689778,381.0,385.5,378.0,382.0,+1.00,7282
109/06/16,17328425,6800811800,389.0,396.0,387.5,396.0,+14.00,12028
109/06/17,17218919,6891541180,398.0,404.0,397.0,399.0,+3.00,12256
109/06/18,17960177,7246733685,403.5,405.0,400.0,405.0,+6.00,9993
109/06/19,19665495,8040091178,415.0,417.0,404.5,404.5,-0.50,13288
109/06/22,16621750,6612423584,393.5,402.0,393.0,396.5,X0.00,11788
109/06/23,23033836,9332518416,405.0,410.5,398.0,406.0,+9.50,15613
109/06/24,15938994,6540197052,413.5,416.0,406.0,407.5,+1.50,10911
109/06/29,16192029,6396238397,399.0,401.5,390.0,391.0,-16.50,12119
109/06/30,28345298,10740312634,383.0,385.0,373.0,381.0,-10.00,21287
109/07/01,11319095,4328340195,383.0,386.5,378.0,379.5,-1.5,8799
109/07/02,9488367,3589156460,381.0,382.5,376.0,377.0,-2.5,7308
109/07/03,8932943,3383576840,379.5,383.5,376.0,377.0,0.0,6882
109/07/06,15591634,5868339920,376.5,382.0,371.0,378.5,1.5,12392
109/07/07,23672312,9236493116,388.0,398.0,384.0,392.5,14.0,17282
109/07/08,15317861,5971416445,391.5,394.5,386.5,387.0,-5.5,10729
109/07/09,13542263,5179038203,388.5,389.0,379.5,379.5,-7.5,10261
109/07/10,13136576,4929040348,381.0,382.5,370.5,370.5,-9.0,10528
109/07/13,9190203,3467783843,376.0,381.5,371.0,380.5,10.0,7357
109/07/14,10502109,3991234120,383.0,386.5,374.0,374.0,-6.5,8281
109/07/15,6567141,2474705016,379.0,381.5,373.0,374.5,0.5,5439
109/07/16,6969756,2638295524,377.5,381.5,375.0,377.0,2.5,5247
109/07/17,8637183,3285022040,379.0,384.5,376.0,379.0,2.0,6626
109/07/20,5885360,2239532525,380.5,382.5,377.5,382.0,3.0,4329
109/07/21,12745195,4951806855,386.0,391.0,386.0,388.0,6.0,9260
109/07/22,14899758,5875971168,391.0,397.5,390.0,396.0,8.0,11398
109/07/23,11792691,4624577360,398.0,398.5,387.5,389.5,-6.5,8590
109/07/24,12620358,4922082620,388.5,396.0,385.0,389.5,0.0,9984
109/07/27,22788908,9118169108,395.0,408.5,389.5,406.0,16.5,17424
109/07/28,38002440,15248206280,413.0,420.0,382.5,384.0,-22.0,28330
109/07/29,12048818,4594922653,380.0,387.0,376.0,382.5,-1.5,8853
109/07/30,6866265,2627017100,385.5,386.5,379.0,381.5,-1.0,5329
109/07/31,9046834,3492827260,380.0,389.5,378.5,389.0,7.5,6624
109/08/03,11269487,4437933141,389.0,399.5,389.0,390.0,1.0,8628
109/08/04,6704071,2617970903,394.0,395.0,387.0,391.0,1.0,5249
109/08/05,14724384,5852114094,393.5,400.5,391.5,397.5,6.5,10692
109/08/06,13812892,5449240556,399.0,401.5,390.0,391.5,-6.0,9953
109/08/07,22777535,9040019921,399.5,404.5,390.0,390.0,-1.5,16194
109/08/10,8275711,3190343657,389.0,390.0,383.0,384.5,-5.5,6467
109/08/11,6240654,2415493413,386.0,391.5,383.5,385.5,1.0,4885
109/08/12,13840909,5329546070,388.5,391.0,380.0,380.5,-5.0,9958
109/08/13,9656363,3653685731,383.5,384.5,374.5,376.5,-4.0,7573
109/08/14,6745524,2530217310,375.5,379.0,371.5,375.0,-1.5,5301
109/08/17,4878113,1849121476,377.0,383.0,375.5,379.0,4.0,3872
109/08/18,6562895,2462600625,381.0,381.0,372.5,373.0,-6.0,5571
109/08/19,19459723,7047268557,374.0,376.5,351.0,354.5,-18.5,15422
109/08/20,28846777,9594193795,352.0,352.0,320.0,330.0,-24.5,20843
