日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/29,2098463,219619338,104.5,105.0,104.5,105.0,+0.50,1157
109/07/30,3596780,377444781,105.0,105.5,104.5,105.0, 0.00,1328
109/07/31,2370584,248960601,105.5,105.5,104.5,105.0, 0.00,727
109/08/03,3193065,333600325,105.0,105.0,104.0,104.0,-1.0,1305
109/08/04,3287446,342314088,104.5,105.0,104.0,104.0,0.0,1614
109/08/05,4133372,430647560,104.5,105.0,103.5,104.5,0.5,1577
109/08/06,4168198,432797170,104.5,105.0,103.5,104.0,-0.5,1945
109/08/07,5666381,587252124,103.5,104.0,103.0,103.5,-0.5,1639
109/08/10,6313168,651499863,103.5,104.0,103.0,103.0,-0.5,1766
109/08/11,6114545,628270876,103.0,103.5,102.5,102.5,-0.5,3122
109/08/12,5846554,601200812,103.0,103.0,102.5,103.0,0.5,2083
109/08/13,3182836,328727007,103.5,103.5,103.0,103.5,0.5,1422
109/08/14,5085673,523957645,103.0,103.5,102.5,103.0,-0.5,1722
109/08/17,1344613,138925252,103.0,103.5,103.0,103.5,0.5,726
109/08/18,3000713,309426776,103.5,103.5,103.0,103.0,-0.5,1443
109/08/19,3985796,412213875,103.0,104.0,103.0,103.0,0.0,1842
109/08/20,3999006,410849118,103.0,103.5,102.5,102.5,-0.5,1626
