日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,6677209,2209097396,333.00,334.00,325.50,334.00,+6.50,4960
109/04/06,8234391,2805449722,346.00,346.00,336.50,341.00,+7.00,5494
109/04/07,10214322,3551388356,348.00,350.00,346.00,347.00,+6.00,5632
109/04/08,6885590,2399316273,346.00,352.00,345.00,349.50,+2.50,4941
109/04/09,8237776,2892865250,356.00,356.00,347.50,351.50,+2.00,5200
109/04/10,6619621,2318809264,352.50,352.50,348.00,350.00,-1.50,4052
109/04/13,7148004,2515220408,349.00,354.50,348.50,351.50,+1.50,4177
109/04/14,13578196,4929041591,354.00,368.50,353.50,365.50,+14.00,8960
109/04/15,8890815,3253892664,370.00,370.50,363.50,365.50, 0.00,5873
109/04/16,6871648,2491533020,361.00,365.50,360.50,361.50,-4.00,4174
109/04/17,13317197,4923770465,379.00,379.00,363.00,368.00,+6.50,8819
109/04/20,5979488,2213219259,371.00,373.50,366.50,370.00,+2.00,3799
109/04/21,11421460,4098032604,367.00,367.00,352.00,353.50,-16.50,8627
109/04/22,12142371,4208265880,350.00,352.00,342.00,346.00,-7.50,9299
109/04/23,8791011,3063268876,347.50,351.00,344.00,351.00,+5.00,5965
109/04/24,6025467,2112875917,351.00,353.00,348.00,348.50,-2.50,4076
109/04/27,13194986,4820204264,357.00,374.00,355.50,372.00,+23.50,9305
109/04/28,10769852,3988722587,374.50,375.00,363.50,375.00,+3.00,7675
109/04/29,31507975,12411291051,400.00,400.00,386.50,398.00,+23.00,21633
109/04/30,22045679,9056156448,412.00,415.50,405.00,415.00,+17.00,14050
