日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/02,7135220,985527452,136.00,140.00,136.00,138.00,-2.00,3440
109/03/03,4003159,555796601,139.50,140.00,138.00,138.00, 0.00,2322
109/03/04,2633646,367109255,138.00,140.00,138.00,140.00,+2.00,1402
109/03/05,3561158,504197247,141.00,142.50,140.50,142.50,+2.50,1849
109/03/06,5236918,728315120,141.00,141.00,138.50,138.50,-4.00,3037
109/03/09,10050978,1357420526,135.50,137.00,133.00,133.00,-5.50,5226
109/03/10,6663277,890014618,131.00,135.50,131.00,133.00, 0.00,3504
109/03/11,8469601,1135623078,134.00,135.50,133.00,133.00, 0.00,3678
109/03/12,16543675,2110313375,133.00,133.00,123.50,123.50,-9.50,9213
109/03/13,24175226,2802562572,114.00,121.00,111.50,120.00,-3.50,10682
109/03/16,10533723,1251792984,122.00,122.00,116.00,118.00,-2.00,5593
109/03/17,8779939,1018497924,114.00,119.00,113.50,115.50,-2.50,4746
109/03/18,7516116,873072456,116.00,119.00,115.00,115.00,-0.50,4962
109/03/19,11899271,1333445581,113.50,116.00,110.00,111.00,-4.00,6804
109/03/20,13676005,1584467090,113.00,118.50,112.00,117.50,+6.50,7022
109/03/23,8552340,958259760,112.00,117.00,108.50,112.50,-5.00,4426
109/03/24,6085189,708279613,114.50,119.00,114.50,115.00,+2.50,3372
109/03/25,8293471,984863520,118.00,119.50,118.00,119.00,+4.00,3905
109/03/26,4537205,543449194,121.00,121.00,118.00,120.00,+1.00,2301
109/03/27,7581766,911754701,123.00,124.00,117.00,118.00,-2.00,3375
109/03/30,4758804,561822680,117.00,119.50,115.00,119.50,+1.50,2431
109/03/31,5193744,626133641,121.50,122.50,119.50,120.50,+1.00,1931
