日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/02,9188918,310394312,33.60,34.00,33.40,33.70,-0.80,4938
109/03/03,8152901,275501617,33.95,34.00,33.65,33.65,-0.05,3597
109/03/04,6719880,228071743,33.65,34.45,33.65,34.25,+0.60,3437
109/03/05,6128750,209862836,34.30,34.45,34.10,34.35,+0.10,3595
109/03/06,7873681,266981054,34.35,34.35,33.70,33.70,-0.65,3810
109/03/09,10389304,344088422,33.30,33.30,33.00,33.00,-0.70,5579
109/03/10,9798859,318237997,32.10,32.90,32.10,32.65,-0.35,4012
109/03/11,6994188,228119470,32.60,32.85,32.30,32.40,-0.25,3638
109/03/12,14870102,465942548,32.00,32.00,31.00,31.10,-1.30,7405
109/03/13,22914304,665989032,28.20,29.95,28.15,29.70,-1.40,9900
109/03/16,8876578,264426205,29.70,30.00,29.60,29.60,-0.10,4052
109/03/17,18430346,528272486,29.00,29.30,28.25,28.40,-1.20,7092
109/03/18,14398503,401925284,27.50,28.40,27.40,27.80,-0.60,6208
109/03/19,14642247,390754614,26.95,27.40,25.95,27.05,-0.75,5488
109/03/20,14026137,388637146,27.10,28.20,27.10,27.55,+0.50,5387
109/03/23,9463518,263976745,27.45,28.30,26.60,27.80,+0.25,3755
109/03/24,11058588,319834401,28.50,29.15,28.50,28.90,+1.10,4118
109/03/25,8252444,243918492,29.40,29.85,29.20,29.55,+0.65,3594
109/03/26,5471216,161319717,29.55,29.85,29.10,29.40,-0.15,2248
109/03/27,5595960,165653294,29.90,30.00,29.35,29.45,+0.05,2568
109/03/30,6310219,180412249,28.50,28.90,28.00,28.70,-0.75,2909
109/03/31,6706744,194000785,29.00,29.30,28.70,28.75,+0.05,2456
