日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,25482019,480920161,19.00,19.00,18.80,18.80,-0.15,10236
109/04/06,24482206,466697210,19.10,19.25,18.85,19.25,+0.45,6001
109/04/07,16015578,309310726,19.50,19.50,19.20,19.30,+0.05,5294
109/04/08,19420509,378999930,19.35,19.60,19.35,19.55,+0.25,6582
109/04/09,14680937,287156263,19.60,19.70,19.50,19.50,-0.05,5758
109/04/10,12690752,249245157,19.55,19.70,19.50,19.70,+0.20,4721
109/04/13,9095860,178300685,19.70,19.70,19.50,19.55,-0.15,3942
109/04/14,17362473,341950291,19.60,19.75,19.55,19.75,+0.20,4869
109/04/15,23388609,466678230,19.85,20.00,19.80,20.00,+0.25,9837
109/04/16,25155502,496318490,19.95,20.00,19.65,19.75,-0.25,8301
109/04/17,19880745,394602122,19.75,20.00,19.75,19.75, 0.00,6544
109/04/20,14181789,278747346,19.75,19.90,19.55,19.60,-0.15,5876
109/04/21,24477290,470500272,19.50,19.55,19.10,19.10,-0.50,11211
109/04/22,17866816,339675823,19.00,19.15,18.85,19.15,+0.05,7848
109/04/23,12990975,248409886,19.15,19.30,19.00,19.15, 0.00,4309
109/04/24,9550654,183170171,19.15,19.25,19.05,19.15, 0.00,4737
109/04/27,19287380,376293850,19.35,19.70,19.30,19.50,+0.35,6820
109/04/28,13906838,271707530,19.65,19.65,19.45,19.55,+0.05,5000
109/04/29,23251526,460053065,19.60,19.90,19.55,19.85,+0.30,8133
109/04/30,37550070,750255964,19.95,20.10,19.85,20.00,+0.15,10457
