日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/01,21029768,483037564,22.90,23.10,22.85,22.95,+0.10,5398
109/06/02,15096474,348052284,22.95,23.10,22.95,23.10,+0.15,4560
109/06/03,28694966,665196362,23.30,23.40,23.05,23.20,+0.10,8691
109/06/04,27656141,641056492,23.30,23.35,23.00,23.15,-0.05,6723
109/06/05,16339747,378165685,23.10,23.25,23.00,23.15, 0.00,4738
109/06/08,20925342,485435374,23.15,23.30,23.05,23.20,+0.05,6228
109/06/09,17423451,402935760,23.20,23.20,23.05,23.10,-0.10,4742
109/06/10,22866638,533072680,23.15,23.50,23.10,23.50,+0.40,5874
109/06/11,30400613,707871436,23.45,23.65,23.00,23.00,-0.50,10600
109/06/12,28176477,639058577,22.45,22.95,22.35,22.85,-0.15,11273
109/06/15,22471260,510238567,22.85,22.90,22.60,22.60,-0.25,7732
109/06/16,21431947,489942952,22.75,23.00,22.65,22.75,+0.15,6245
109/06/17,18465051,419986434,22.80,22.85,22.65,22.80,+0.05,6098
109/06/18,22873121,517910445,22.80,22.85,22.60,22.60,-0.20,7572
109/06/19,26132718,589432474,22.65,22.70,22.50,22.50,-0.10,5330
109/06/22,9933617,224346789,22.50,22.65,22.50,22.65,+0.15,2752
109/06/23,17136592,388604985,22.70,22.80,22.55,22.75,+0.10,3730
109/06/24,13431332,305335621,22.75,22.90,22.70,22.70,-0.05,4447
109/06/29,15567250,351575424,22.55,22.70,22.50,22.65,-0.05,5527
109/06/30,16174916,366670139,22.70,22.80,22.60,22.65, 0.00,5180
