日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,929311,3885331200,4135.00,4245.00,4125.00,4200.00,+115.00,1278
109/07/02,711228,3037832931,4280.00,4310.00,4230.00,4245.00,+45.00,1014
109/07/03,805974,3469427550,4295.00,4330.00,4250.00,4325.00,+80.00,1347
109/07/06,1211247,5312460505,4420.00,4435.00,4315.00,4410.00,+85.00,1744
109/07/07,1011784,4469273520,4440.00,4450.00,4355.00,4405.00,-5.00,1463
109/07/08,833870,3648353850,4410.00,4410.00,4350.00,4355.00,-50.00,1338
109/07/09,868426,3855709680,4405.00,4475.00,4405.00,4430.00,+75.00,1283
109/07/10,2847667,11521489180,4075.00,4140.00,4000.00,4010.00,-420.00,3947
109/07/13,1009902,4024093000,4050.00,4050.00,3960.00,3960.00,-50.00,1629
109/07/14,700052,2795720600,3955.00,4030.00,3925.00,4020.00,+60.00,1005
109/07/15,596590,2417117450,4085.00,4095.00,4010.00,4015.00,-5.00,849
109/07/16,417238,1673266520,4050.00,4055.00,3990.00,4000.00,-15.00,817
109/07/17,275519,1105141380,4040.00,4050.00,3995.00,3995.00,-5.00,727
109/07/20,300239,1204405560,4005.00,4030.00,3980.00,4010.00,+15.00,574
109/07/21,526014,2144542680,4040.00,4095.00,4040.00,4090.00,+80.00,782
109/07/22,524628,2144149100,4095.00,4135.00,4025.00,4045.00,-45.00,897
109/07/23,1700474,6668813190,4045.00,4050.00,3850.00,3875.00,-170.00,2548
109/07/24,1318798,5048043370,3865.00,3870.00,3790.00,3800.00,-75.00,2479
109/07/27,630838,2409576300,3840.00,3850.00,3790.00,3815.00,+15.00,1457
109/07/28,855590,3334250750,3835.00,3960.00,3830.00,3910.00,+95.00,1547
109/07/29,619213,2395532180,3950.00,3955.00,3835.00,3850.00,-60.00,1795
109/07/30,411035,1579504750,3885.00,3885.00,3810.00,3825.00,-25.00,1329
109/07/31,409393,1570798050,3845.00,3875.00,3825.00,3825.00, 0.00,1130
