日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,12705874,355217141,27.80,28.00,27.80,28.00,+0.20,4206
109/07/02,17942671,502972588,28.05,28.10,27.90,28.05,+0.05,4120
109/07/03,22627166,635325373,28.05,28.15,28.00,28.10,+0.05,5683
109/07/06,33484044,947784715,28.10,28.40,28.10,28.40,+0.30,9176
109/07/07,36664217,1037002365,28.50,28.50,28.10,28.30,-0.10,6574
109/07/08,24087413,683952705,28.30,28.50,28.30,28.45,+0.15,6483
109/07/09,21497839,611201964,28.50,28.60,28.30,28.30,-0.15,6328
109/07/10,27744116,782080640,28.25,28.35,28.00,28.30, 0.00,7506
109/07/13,37391745,1072889289,28.50,28.85,28.45,28.80,+0.50,9487
109/07/14,24598785,710241202,29.00,29.00,28.80,28.80, 0.00,7328
109/07/15,24956311,720522244,28.85,29.00,28.80,28.85,+0.05,7281
109/07/16,27039372,782611488,28.95,29.00,28.85,28.95,+0.10,7044
109/07/17,27910004,813395915,29.00,29.30,28.95,29.15,+0.20,8606
109/07/20,28636706,836293609,29.15,29.30,29.10,29.25,+0.10,8501
109/07/21,30084054,879959670,29.25,29.35,29.20,29.25, 0.00,8091
109/07/22,40569261,1181570319,29.25,29.30,29.00,29.20,-0.05,13044
109/07/23,29921900,870410376,29.05,29.15,29.05,29.10,-0.10,6021
109/07/24,52919766,1532790914,29.00,29.05,28.90,28.95,-0.15,11758
109/07/27,85414355,2472398045,29.00,29.05,28.85,28.95, 0.00,18095
109/07/28,169799702,4517007388,26.45,27.00,26.20,26.95,X0.00,49016
109/07/29,52638393,1438057479,26.95,27.75,26.95,27.20,+0.25,18495
109/07/30,29492793,798841948,27.40,27.45,27.00,27.25,+0.05,9434
109/07/31,22824083,619339412,27.25,27.25,27.10,27.10,-0.15,5881
