日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,7704668,4509588420,590.00,594.00,575.00,577.00,-2.00,6026
109/07/02,6031098,3479994448,577.00,582.00,573.00,574.00,-3.00,4713
109/07/03,8709502,5076814670,575.00,587.00,575.00,585.00,+11.00,6503
109/07/06,7257983,4246965987,587.00,589.00,580.00,589.00,X0.00,5745
109/07/07,19739242,12030718684,598.00,632.00,595.00,618.00,+29.00,13788
109/07/08,23384399,15334797441,629.00,674.00,625.00,661.00,+43.00,17451
109/07/09,17228954,11275283916,661.00,663.00,640.00,651.00,-10.00,14157
109/07/10,17015547,10729476093,641.00,647.00,616.00,616.00,-35.00,13330
109/07/13,10446840,6560638360,626.00,639.00,618.00,629.00,+13.00,8478
109/07/14,9446920,5812727670,627.00,628.00,610.00,611.00,-18.00,7700
109/07/15,14729162,8973203197,612.00,618.00,598.00,609.00,-2.00,11055
109/07/16,7417218,4474246018,601.00,612.00,599.00,599.00,-10.00,6190
109/07/17,8994459,5420967613,598.00,608.00,596.00,607.00,+8.00,7114
109/07/20,9008151,5388054902,609.00,611.00,590.00,601.00,-6.00,7345
109/07/21,15777808,9951824696,612.00,643.00,612.00,637.00,+36.00,12392
109/07/22,17852109,11827985376,659.00,670.00,651.00,664.00,+27.00,13618
109/07/23,17793987,11920667659,658.00,687.00,653.00,677.00,+13.00,13937
109/07/24,24419901,16795888977,677.00,703.00,670.00,675.00,-2.00,19725
109/07/27,21431219,15305966243,695.00,737.00,691.00,728.00,+53.00,17615
109/07/28,36378539,26105851132,741.00,763.00,680.00,680.00,-48.00,28746
109/07/29,14628939,9963495157,683.00,694.00,667.00,682.00,+2.00,11816
109/07/30,13796896,9398689156,686.00,694.00,670.00,683.00,+1.00,10458
109/07/31,15072563,10404919783,678.00,707.00,670.00,701.00,+18.00,11281
