日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,1027741,495539975,495.00,497.00,473.00,473.50,-17.50,987
109/04/06,816235,396605140,484.50,498.50,475.00,498.50,+25.00,793
109/04/07,862055,430696637,515.00,515.00,488.00,493.00,-5.50,814
109/04/08,659052,323829032,493.00,499.00,485.50,490.00,-3.00,602
109/04/09,729156,361985720,495.00,505.00,490.00,490.00, 0.00,658
109/04/10,417217,206440868,489.00,502.00,488.00,501.00,+11.00,412
109/04/13,365825,180904225,498.00,507.00,490.00,490.00,-11.00,367
109/04/14,683111,345564388,497.00,513.00,493.00,507.00,+17.00,597
109/04/15,402184,206269464,510.00,517.00,508.00,513.00,+6.00,364
109/04/16,624109,313002654,503.00,510.00,496.00,498.00,-15.00,572
109/04/17,814193,417281079,507.00,529.00,500.00,501.00,+3.00,749
109/04/20,468128,239491152,504.00,518.00,504.00,509.00,+8.00,399
109/04/21,809121,403826345,505.00,517.00,490.50,490.50,-18.50,801
109/04/22,332801,161877188,487.00,494.00,476.00,491.50,+1.00,347
109/04/23,503472,245540069,493.50,499.50,480.50,486.00,-5.50,469
109/04/24,231186,112221988,482.00,489.00,482.00,485.50,-0.50,238
109/04/27,701704,351913612,493.00,507.00,488.00,506.00,+20.50,640
109/04/28,292658,147887974,511.00,512.00,502.00,503.00,-3.00,270
109/04/29,963559,511474537,504.00,550.00,504.00,543.00,+40.00,958
109/04/30,946704,530433832,555.00,575.00,549.00,557.00,+14.00,887
