日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/01,5757367,366314810,63.80,63.90,63.00,63.20,+0.30,3012
109/06/02,4311494,273489184,63.20,63.80,63.10,63.80,+0.60,2471
109/06/03,9737125,629980025,64.50,65.00,64.00,65.00,+1.20,5333
109/06/04,4745497,308951905,65.90,65.90,64.70,65.00, 0.00,2660
109/06/05,4544560,295371029,65.20,65.30,64.70,65.30,+0.30,2441
109/06/08,7941534,524630425,65.60,66.50,65.30,66.50,+1.20,4365
109/06/09,6074936,405034912,66.60,67.00,66.00,67.00,+0.50,3537
109/06/10,7398001,497674339,67.20,67.50,66.50,67.40,+0.40,3006
109/06/11,6244995,415423070,67.30,67.50,65.60,66.00,-1.40,3604
109/06/12,7046151,458516381,65.30,65.50,64.70,65.30,-0.70,3178
109/06/15,7447059,480813581,65.10,65.50,63.40,64.10,-1.20,3174
109/06/16,6088341,397052065,64.40,66.10,64.40,64.90,+0.80,3404
109/06/17,5780901,374935347,64.70,65.40,64.50,64.90, 0.00,3832
109/06/18,6411002,413804506,64.90,65.00,64.20,64.90, 0.00,3392
109/06/19,16677384,1067402968,64.80,65.20,63.80,63.80,-1.10,5040
109/06/22,5891278,379120762,63.80,65.30,63.80,64.40,+0.60,3904
109/06/23,5956720,385327036,64.50,65.00,64.20,65.00,+0.60,3474
109/06/24,6355364,413054660,65.30,65.40,64.70,64.70,-0.30,4308
109/06/29,7041839,450406832,64.60,64.70,63.70,64.00,-0.70,4276
109/06/30,5276120,340827923,64.40,65.00,64.10,64.60,+0.60,2062
