日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,495417,150291049,304.00,305.00,302.50,302.50,-1.50,475
109/01/03,637247,193876444,305.00,305.50,302.50,305.50,+3.00,574
109/01/06,434372,132306960,305.00,305.50,304.00,304.00,-1.50,346
109/01/07,590803,179683612,303.50,305.00,303.50,304.00, 0.00,501
109/01/08,877256,266779447,303.50,305.50,302.00,303.50,-0.50,538
109/01/09,422102,129156255,303.50,306.50,303.50,306.50,+3.00,387
109/01/10,545279,168014932,308.00,308.50,307.50,308.50,+2.00,497
109/01/13,631289,195427933,308.50,310.00,308.00,310.00,+1.50,608
109/01/14,900278,279431680,310.00,311.50,309.50,310.50,+0.50,749
109/01/15,804636,248566328,310.50,310.50,306.50,309.50,-1.00,598
109/01/16,973450,300075894,310.00,310.00,306.50,309.50, 0.00,529
109/01/17,638972,197370322,309.50,310.00,307.50,310.00,+0.50,537
109/01/20,795105,244900090,310.00,310.00,307.00,308.00,-2.00,732
109/01/30,2618393,791569573,309.50,309.50,297.00,298.50,-9.50,2098
109/01/31,1594065,477218515,298.50,301.50,298.50,298.50, 0.00,1184
