日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/02/03,41522634,905434348,21.60,21.95,21.50,21.95,-0.10,8325
109/02/04,43992077,972976845,21.90,22.30,21.90,22.30,+0.35,6800
109/02/05,27399395,610707345,22.20,22.40,22.10,22.40,+0.10,4920
109/02/06,23983939,537894606,22.40,22.50,22.35,22.50,+0.10,6081
109/02/07,31906792,715899419,22.40,22.50,22.35,22.50, 0.00,5068
109/02/10,29232982,656230646,22.40,22.50,22.35,22.50, 0.00,5832
109/02/11,19638667,442308552,22.50,22.55,22.40,22.55,+0.05,5681
109/02/12,36229145,819456762,22.50,22.75,22.50,22.65,+0.10,7558
109/02/13,24941107,567308523,22.65,22.80,22.60,22.80,+0.15,6124
109/02/14,14428746,328832463,22.75,22.85,22.75,22.80, 0.00,4295
109/02/17,45878889,1048123784,22.80,22.95,22.70,22.95,+0.15,7264
109/02/18,44621770,1027716474,22.95,23.10,22.85,23.10,+0.15,7062
109/02/19,37229590,863626718,23.20,23.30,23.00,23.30,+0.20,9085
109/02/20,44025624,1029962295,23.30,23.45,23.25,23.45,+0.15,7439
109/02/21,28376526,659403792,23.35,23.45,23.10,23.20,-0.25,7567
109/02/24,35463325,811536353,23.00,23.00,22.70,22.85,-0.35,8635
109/02/25,30031348,682484847,22.65,22.80,22.60,22.80,-0.05,7876
109/02/26,42043614,952625421,22.55,22.80,22.55,22.80, 0.00,7100
109/02/27,46866541,1062476705,22.70,22.80,22.55,22.70,-0.10,7266
