日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/08/03,22606861,584636921,25.55,26.60,25.30,26.10,+0.50,8851
109/08/04,10846811,281956189,26.10,26.20,25.80,26.05,-0.05,4452
109/08/05,8369001,219005515,26.05,26.35,26.00,26.10,+0.05,4469
109/08/06,7801357,204912410,26.20,26.55,26.05,26.20,+0.10,2566
109/08/07,7827696,206257113,26.25,26.50,26.20,26.35,+0.15,4535
109/08/10,5189446,136861259,26.40,26.50,26.30,26.45,+0.10,2081
109/08/11,5783431,151488377,26.40,26.40,26.05,26.05,-0.40,2234
109/08/12,7496603,195771987,26.05,26.30,25.90,26.30,+0.25,2168
109/08/13,4283257,112698845,26.45,26.50,26.20,26.35,+0.05,1354
109/08/14,5230265,137182970,26.30,26.30,26.15,26.25,-0.10,2129
109/08/17,9925480,261300704,26.25,26.45,26.15,26.40,+0.15,3481
109/08/18,9398430,248717435,26.45,26.60,26.35,26.50,+0.10,2396
109/08/19,10318010,273366043,26.55,26.65,26.30,26.30,-0.20,3279
109/08/20,13552753,348766063,26.25,26.40,25.30,25.65,-0.65,5185
