日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/05/04,14573797,922802199,62.40,64.40,62.40,63.50,-2.70,7496
109/05/05,5195729,332522381,64.00,64.60,63.50,63.80,+0.30,2942
109/05/06,6142618,389076438,63.70,64.20,63.00,63.00,-0.80,3085
109/05/07,4840643,306190309,62.90,64.10,62.80,63.00, 0.00,2731
109/05/08,5194831,332830034,63.80,64.40,63.40,64.00,+1.00,2812
109/05/11,4008985,261309201,65.70,65.80,64.60,64.60,+0.60,2398
109/05/12,7440286,473648052,64.00,64.10,63.50,63.50,-1.10,3776
109/05/13,3629347,230895908,63.40,64.00,63.20,64.00,+0.50,1884
109/05/14,4900504,308476752,63.40,63.70,62.50,62.70,-1.30,2637
109/05/15,4029517,253097471,63.60,63.60,62.50,62.70, 0.00,2104
109/05/18,3876690,243210579,62.00,63.20,62.00,62.60,-0.10,1757
109/05/19,6126951,390558753,64.50,64.50,63.20,63.60,+1.00,2689
109/05/20,4061458,259027536,64.00,64.00,63.40,63.90,+0.30,2185
109/05/21,2832732,181130548,63.50,64.40,63.30,63.90, 0.00,1755
109/05/22,7131973,447507082,63.80,63.90,62.30,62.30,-1.60,3767
109/05/25,4468565,275146933,62.90,62.90,60.80,62.10,-0.20,2805
109/05/26,5980675,379742532,62.90,63.80,62.50,63.30,+1.20,3175
109/05/27,4135995,261594560,63.30,63.70,63.00,63.10,-0.20,1740
109/05/28,4854829,304828072,63.60,63.90,62.00,62.50,-0.60,2056
109/05/29,15240344,956332172,62.40,63.40,62.00,62.90,+0.40,2925
