日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/01,10053092,611429280,60.90,61.10,60.30,60.90,+1.10,5337
109/06/02,14260048,863092185,60.80,61.40,60.00,60.10,-0.80,7444
109/06/03,18988199,1154137550,60.70,61.40,59.70,61.20,+1.10,8273
109/06/04,39551479,2475059878,62.00,63.20,61.80,62.20,+1.00,18855
109/06/05,38561632,2456640835,63.10,64.30,62.80,64.20,+2.00,18044
109/06/08,33778647,2155237248,64.90,65.30,62.60,63.80,-0.40,15177
109/06/09,20722916,1316703151,63.90,64.50,63.00,63.40,-0.40,9916
109/06/10,14467026,923363264,63.60,64.30,63.40,64.00,+0.60,6394
109/06/11,20335555,1273914610,64.00,64.00,61.60,61.80,-2.20,10669
109/06/12,13359687,810037709,59.80,61.30,59.50,61.20,-0.60,6954
109/06/15,17770959,1073717110,60.70,61.10,60.00,60.00,-1.20,10728
109/06/16,11191312,684235774,60.60,61.50,60.50,61.50,+1.50,5414
109/06/17,10484524,638126264,61.70,62.00,60.40,60.60,-0.90,5728
109/06/18,12311826,742041718,60.60,60.60,60.00,60.40,-0.20,5874
109/06/19,23045854,1382848940,60.10,60.50,59.80,59.80,-0.60,9162
109/06/22,11582623,695292780,60.00,60.60,59.80,59.90,+0.10,4322
109/06/23,10604259,636749878,60.40,60.50,59.50,60.00,+0.10,3916
109/06/24,15822620,957456131,60.00,60.90,59.90,60.80,+0.80,5751
109/06/29,16722939,997950840,60.60,60.60,58.80,59.50,-1.30,6259
109/06/30,11349802,689977822,60.70,61.20,60.40,61.00,+1.50,5653
