日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/02,30538797,976686454,31.65,32.20,31.65,31.95,-0.40,9038
109/03/03,23329556,752590191,32.20,32.45,32.10,32.25,+0.30,8316
109/03/04,16059629,517473619,32.10,32.35,32.10,32.35,+0.10,4252
109/03/05,18015449,590155952,32.35,32.95,32.35,32.90,+0.55,5996
109/03/06,31560331,1023229245,32.80,32.80,32.20,32.45,-0.45,11020
109/03/09,53794321,1709004572,31.70,32.15,31.40,31.75,-0.70,16052
109/03/10,48414443,1515807865,31.10,31.60,31.10,31.35,-0.40,13372
109/03/11,33968278,1063802171,31.30,31.45,31.20,31.20,-0.15,9824
109/03/12,61293461,1857854188,30.75,30.85,29.90,30.20,-1.00,20149
109/03/13,95185681,2755611024,28.35,30.20,28.05,30.00,-0.20,27628
109/03/16,54477197,1592797134,29.10,29.55,29.00,29.00,-1.00,14832
109/03/17,72442065,2034605492,27.80,28.65,27.60,28.00,-1.00,20327
109/03/18,47149691,1320506700,27.60,28.45,27.60,28.00, 0.00,15541
109/03/19,69828242,1886289282,27.50,27.75,26.40,26.40,-1.60,20344
109/03/20,63885918,1753973120,26.70,28.00,26.70,27.95,+1.55,17947
109/03/23,45775995,1232121471,26.55,27.20,26.20,27.00,-0.95,16349
109/03/24,39560181,1095594226,28.10,28.30,27.35,27.35,+0.35,12766
109/03/25,34707149,973866438,27.95,28.35,27.75,27.95,+0.60,12978
109/03/26,33857040,949232916,28.10,28.30,27.80,28.15,+0.20,11285
109/03/27,30409825,869451219,28.35,28.80,28.30,28.65,+0.50,10010
109/03/30,25237428,717517292,28.30,28.80,27.90,28.65, 0.00,7256
109/03/31,26428767,753501148,28.85,28.90,28.20,28.45,-0.20,8375
