日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,375897,73493462,196.00,196.50,194.50,196.00,+1.00,322
109/01/03,645014,125967258,197.50,197.50,193.00,196.00, 0.00,536
109/01/06,657890,128416940,195.50,196.50,193.50,195.50,-0.50,556
109/01/07,664515,129697425,194.50,196.00,194.00,195.00,-0.50,502
109/01/08,826704,158572168,192.00,193.50,190.50,191.50,-3.50,672
109/01/09,740551,142843343,192.50,195.00,192.00,193.00,+1.50,574
109/01/10,569956,109447008,193.00,193.50,191.00,192.00,-1.00,387
109/01/13,1456726,279487392,192.00,194.50,190.50,190.50,-1.50,1026
109/01/14,1419629,270315015,191.50,191.50,190.00,190.00,-0.50,932
109/01/15,659825,126258900,190.50,192.50,190.50,191.00,+1.00,489
109/01/16,1122373,212139870,190.50,190.50,188.00,188.50,-2.50,940
109/01/17,332035,63045699,189.00,190.50,189.00,189.50,+1.00,313
109/01/20,361096,68813836,189.50,191.50,189.00,190.00,+0.50,318
109/01/30,2189660,390506820,183.00,184.00,171.50,176.00,-14.00,1845
109/01/31,1572176,286199967,177.00,185.00,177.00,183.00,+7.00,1168
