日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/08/03,28038270,504107460,18.05,18.10,17.90,17.95,-0.05,6212
109/08/04,27963419,510039537,18.00,18.40,18.00,18.20,+0.25,4979
109/08/05,14968971,273210018,18.30,18.30,18.20,18.25,+0.05,4009
109/08/06,56377648,1046966878,18.30,18.70,18.30,18.65,+0.40,10827
109/08/07,45247611,853579798,18.75,19.00,18.65,18.70,+0.05,9206
109/08/10,66555586,1277056224,19.20,19.40,19.00,19.15,+0.45,12527
109/08/11,29384001,564213314,19.30,19.30,19.10,19.15, 0.00,6887
109/08/12,32174760,613021609,19.20,19.25,18.90,19.05,-0.10,6944
109/08/13,20176238,384859630,19.10,19.15,19.00,19.10,+0.05,4300
109/08/14,32531743,621285063,19.05,19.15,19.00,19.10, 0.00,6379
109/08/17,42875426,806756878,18.50,19.05,18.50,18.80,X0.00,13161
109/08/18,25926775,485642642,18.85,18.85,18.65,18.75,-0.05,5755
109/08/19,46588085,883947080,18.75,19.15,18.75,18.85,+0.10,12836
109/08/20,64793291,1203490213,18.80,18.90,18.30,18.45,-0.40,13845
