日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/02/03,5922436,399746662,68.50,68.60,66.60,67.80,-0.80,3117
109/02/04,4765869,322757340,67.30,68.50,67.20,67.90,+0.10,2739
109/02/05,3824199,258165132,67.60,67.90,67.30,67.60,-0.30,1949
109/02/06,6385387,431663016,67.40,67.90,67.40,67.70,+0.10,2484
109/02/07,4598647,308398066,67.50,67.50,66.90,67.00,-0.70,2606
109/02/10,3257657,218623057,66.90,67.40,66.70,67.40,+0.40,1460
109/02/11,2195125,148074450,67.10,67.70,67.10,67.40, 0.00,1342
109/02/12,4411048,296017617,67.10,67.40,67.00,67.00,-0.40,2780
109/02/13,2944575,198590393,67.00,67.80,67.00,67.20,+0.20,1521
109/02/14,3106362,210977191,67.20,68.30,67.20,68.20,+1.00,1805
109/02/17,2345321,160012506,68.20,68.50,67.70,68.40,+0.20,1423
109/02/18,2305333,157230333,68.40,68.40,68.00,68.40, 0.00,1245
109/02/19,3354113,230698197,68.20,69.30,68.20,68.90,+0.50,1905
109/02/20,6397888,433362984,68.20,68.40,67.40,67.60,-1.30,3575
109/02/21,3453981,233162006,67.50,67.90,67.30,67.40,-0.20,2291
109/02/24,7043655,469585595,67.30,67.30,66.20,66.70,-0.70,4393
109/02/25,5737657,379666319,66.20,66.80,65.80,66.80,+0.10,3746
109/02/26,6758715,444454584,66.00,66.30,65.10,66.00,-0.80,4337
109/02/27,5730771,376552727,65.60,66.10,65.30,66.10,+0.10,2426
