日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,17584073,1075970634,61.50,61.50,60.80,61.00, 0.00,7302
109/07/02,10403022,628330717,59.90,60.80,59.90,60.50,X0.00,5273
109/07/03,13219715,792060700,60.50,60.50,59.70,59.80,-0.70,7393
109/07/06,15598688,936083290,59.50,60.40,59.30,60.20,+0.40,7623
109/07/07,18864134,1139283597,60.50,60.80,59.70,60.80,+0.60,7193
109/07/08,11117957,671942976,60.60,60.80,60.10,60.20,-0.60,5211
109/07/09,16286951,992457211,60.50,61.40,60.30,61.00,+0.80,7725
109/07/10,15394281,924829725,61.40,61.50,59.50,59.60,-1.40,7978
109/07/13,40903250,2538787821,60.40,63.40,60.20,62.70,+3.10,19849
109/07/14,37810461,2346591120,63.50,63.50,61.20,61.50,-1.20,18499
109/07/15,24300993,1478168060,62.20,62.20,60.10,60.10,-1.40,11738
109/07/16,16225529,983428992,60.90,61.30,60.20,60.30,+0.20,5821
109/07/17,8926925,539724556,61.00,61.00,60.10,60.20,-0.10,3753
109/07/20,9049456,549059604,60.90,61.10,60.30,60.80,+0.60,3927
109/07/21,15247935,932749635,61.20,61.50,60.50,61.20,+0.40,6260
109/07/22,19347009,1201141829,61.80,62.90,61.50,61.70,+0.50,8911
109/07/23,13080401,809015462,61.90,62.20,61.40,62.00,+0.30,5725
109/07/24,19187527,1175023169,62.00,62.40,60.20,60.40,-1.60,8914
109/07/27,14899710,893119236,60.40,61.10,59.50,59.60,-0.80,6873
109/07/28,11820005,707020774,59.80,60.40,59.50,59.50,-0.10,5346
109/07/29,13592852,800427568,59.10,59.50,58.30,58.90,-0.60,6975
109/07/30,11756002,705205300,59.70,60.50,59.00,60.20,+1.30,5180
109/07/31,12179099,738764582,60.10,61.20,59.80,60.60,+0.40,4512
