日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/08/03,8023590,498041979,62.00,62.30,61.70,62.10,+0.40,4672
109/08/04,15361858,975388303,62.40,64.20,62.10,63.80,+1.70,8480
109/08/05,12163960,778732139,64.40,64.50,63.40,63.40,-0.40,6175
109/08/06,9251648,591492272,63.80,64.30,63.60,64.00,+0.60,4390
109/08/07,5892101,374956411,64.20,64.30,63.20,63.60,-0.40,3050
109/08/10,7486708,476796109,64.00,64.00,63.30,63.60, 0.00,4348
109/08/11,7039556,440360729,63.60,63.60,62.00,62.00,-1.60,3923
109/08/12,4094405,254479325,62.00,62.50,61.90,62.10,+0.10,2082
109/08/13,0,0,--,--,--,--, 0.00,0
109/08/14,54060160,3586482218,67.30,67.70,63.60,66.70,X0.00,23765
109/08/17,39583045,2732255205,67.70,70.40,67.50,69.10,+2.40,20918
109/08/18,16270424,1110153663,69.70,69.90,67.50,67.70,-1.40,8354
109/08/19,13028073,876676523,68.40,69.10,66.30,66.60,-1.10,6711
109/08/20,16764420,1079989080,66.70,66.80,63.10,64.00,-2.60,8543
