日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,17979580,198124175,11.00,11.10,10.90,11.00,-0.05,6287
109/04/06,26545962,292871342,11.00,11.15,10.90,11.05,+0.05,3937
109/04/07,20330659,226581711,11.20,11.25,11.10,11.10,+0.05,2884
109/04/08,18242230,204819434,11.00,11.35,11.00,11.25,+0.15,5062
109/04/09,13077110,148315054,11.25,11.45,11.20,11.30,+0.05,4200
109/04/10,13057402,150212115,11.35,11.65,11.30,11.60,+0.30,2428
109/04/13,11057968,125662651,11.35,11.45,11.30,11.30,-0.30,4278
109/04/14,15942842,183745308,11.30,11.65,11.30,11.55,+0.25,3139
109/04/15,21072258,248703404,11.60,11.90,11.60,11.90,+0.35,5203
109/04/16,21326758,251440670,11.80,11.90,11.70,11.80,-0.10,4406
109/04/17,17167379,205791977,12.00,12.10,11.90,11.90,+0.10,4699
109/04/20,12352180,146173643,11.85,11.90,11.75,11.90, 0.00,2778
109/04/21,24093294,278233317,11.80,11.80,11.40,11.40,-0.50,5585
109/04/22,16410288,185174514,11.20,11.35,11.20,11.35,-0.05,4700
109/04/23,18139480,205040112,11.30,11.50,11.20,11.30,-0.05,5272
109/04/24,11832704,133507008,11.30,11.35,11.25,11.25,-0.05,3385
109/04/27,12061334,138369310,11.40,11.55,11.40,11.50,+0.25,3913
109/04/28,11095043,127873355,11.60,11.65,11.45,11.55,+0.05,3686
109/04/29,14928514,175714198,11.60,11.90,11.60,11.75,+0.20,5716
109/04/30,25587617,308880564,11.85,12.25,11.85,12.20,+0.45,5369
