日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/01,37936214,11205227094,294.00,296.50,293.50,295.50,+3.50,15502
109/06/02,26663587,7908476089,296.00,297.50,296.00,296.50,+1.00,9743
109/06/03,67894337,20354971677,300.00,301.00,298.00,301.00,+4.50,33062
109/06/04,47225322,14414983532,305.00,306.00,304.00,306.00,+5.00,24482
109/06/05,44077262,13655618646,308.50,312.00,308.00,311.50,+5.50,24096
109/06/08,52042921,16500836851,316.00,319.00,315.00,318.00,+6.50,28581
109/06/09,37068082,11746874522,316.50,319.00,314.00,319.00,+1.00,19981
109/06/10,42207259,13566733306,319.00,324.00,318.00,322.50,+3.50,22670
109/06/11,50612255,16340456218,325.50,327.00,318.50,320.50,-2.00,27061
109/06/12,46970918,14811252573,313.00,317.50,312.50,316.00,-4.50,25263
109/06/15,51032404,15955585136,316.00,317.50,308.50,309.50,-6.50,29255
109/06/16,40725216,12823172756,317.00,317.00,314.00,315.00,+5.50,19377
109/06/17,34692968,10922017056,316.50,317.00,313.50,315.00, 0.00,16218
109/06/18,35443474,11123108346,314.50,315.00,313.00,314.50,X0.00,11897
109/06/19,48130280,15102300186,314.00,314.50,312.00,314.50, 0.00,12915
109/06/22,37374616,11722688924,314.50,316.50,312.00,312.00,-2.50,18836
109/06/23,41300084,12981121544,316.00,316.50,312.50,315.00,+3.00,15959
109/06/24,55464024,17641164202,319.00,320.00,316.00,317.50,+2.50,27086
109/06/29,56672892,17695228688,314.00,315.00,310.00,312.00,-5.50,30558
109/06/30,49241860,15386428040,313.50,314.00,311.00,313.00,+1.00,16165
