日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,4773516,135971064,28.70,28.70,28.35,28.35,-0.40,2343
109/04/06,5340074,151214595,28.50,28.70,28.05,28.40,+0.05,2142
109/04/07,8397122,242824251,28.60,29.20,28.55,28.85,+0.45,4106
109/04/08,10392524,309618267,28.85,30.20,28.75,30.00,+1.15,4982
109/04/09,14470385,454909577,30.85,32.15,30.75,31.65,+1.65,7435
109/04/10,6305211,199285096,31.55,31.95,31.20,31.65, 0.00,3998
109/04/13,4481614,140039730,31.65,31.70,31.05,31.05,-0.60,2035
109/04/14,6389625,202863717,31.50,31.90,31.25,31.85,+0.80,2795
109/04/15,6531422,211323559,32.00,32.60,32.00,32.45,+0.60,2972
109/04/16,4848973,155909012,32.30,32.35,31.90,32.15,-0.30,2104
109/04/17,6291334,204305253,32.45,32.80,32.20,32.25,+0.10,2446
109/04/20,4021165,129383274,32.00,32.35,31.85,32.35,+0.10,1884
109/04/21,5512652,174976664,32.00,32.35,31.50,31.50,-0.85,2915
109/04/22,4737582,148030634,31.30,31.70,30.70,31.60,+0.10,2378
109/04/23,3096131,98255472,31.70,31.95,31.60,31.75,+0.15,1096
109/04/24,1796268,56670476,31.80,31.80,31.50,31.50,-0.25,929
109/04/27,5077661,163189228,31.80,32.35,31.80,32.25,+0.75,2046
109/04/28,6259269,205587140,32.50,33.05,32.45,33.05,+0.80,2914
109/04/29,8455338,286240265,33.10,34.30,33.05,34.00,+0.95,3564
109/04/30,9030380,309363108,34.60,34.65,34.05,34.10,+0.10,3427
